month_n,district_n,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,svr_wasting_percent,svrly_stunting_percent
Jan,Ahmadnagar,2.65,15.00,8.55,13.19,0.68,8.19
Jan,Akola,3.77,19.50,8.98,18.99,1.40,11.83
Jan,Amravati,4.35,25.32,16.07,16.81,1.40,17.74
Jan,Aurangabad,4.07,23.18,13.05,20.22,1.17,13.71
Jan,Beed,4.15,19.64,10.80,20.66,1.79,13.19
Jan,Bhandara,3.31,20.91,9.26,13.10,0.99,12.05
Jan,Buldana,4.10,20.95,11.14,11.86,1.00,11.51
Jan,Chandrapur,3.50,23.41,13.16,19.62,1.20,17.93
Jan,Dhule,3.90,22.66,12.60,20.46,1.22,16.94
Jan,Gadchiroli,6.13,29.26,23.46,19.96,1.90,22.61
Jan,Gondia,4.51,23.21,13.11,16.16,1.41,11.78
Jan,Hingoli,4.28,20.72,12.08,19.27,1.89,14.83
Jan,Jalgaon,4.20,20.18,11.18,14.74,1.10,9.42
Jan,Jalna,4.23,18.55,9.47,19.47,1.51,13.55
Jan,Kolhapur,3.03,16.17,7.86,12.18,0.69,6.39
Jan,Latur,3.39,19.21,8.99,19.89,1.44,11.84
Jan,Mumbai City,7.47,18.32,12.73,18.37,2.79,10.54
Jan,Mumbai Suburban,7.63,21.46,13.74,16.60,2.74,12.48
Jan,Nagpur,4.15,20.27,10.63,16.62,1.58,11.82
Jan,Nanded,3.37,17.98,8.76,16.54,1.46,12.45
Jan,Nandurbar,5.98,30.25,28.07,17.43,1.23,32.98
Jan,Nashik,4.44,21.78,14.46,17.24,1.81,16.80
Jan,Osmanabad,2.93,21.46,10.36,11.72,0.51,9.46
Jan,Palghar,3.27,27.50,21.81,18.22,0.55,25.36
Jan,Parbhani,3.44,21.50,10.49,22.55,1.16,15.83
Jan,Pune,3.23,15.01,7.66,11.39,1.08,7.05
Jan,Raigad,2.16,14.72,6.51,13.59,0.59,7.03
Jan,Ratnagiri,3.12,20.01,11.20,14.75,0.56,9.12
Jan,Sangli,2.71,13.41,6.21,11.32,0.70,5.39
Jan,Satara,2.03,15.35,6.61,11.76,0.47,7.76
Jan,Sindhudurg,4.37,21.77,14.54,18.24,0.64,16.56
Jan,Solapur,2.81,17.52,7.31,13.44,0.89,9.42
Jan,Thane,5.35,21.16,13.08,17.48,1.58,11.67
Jan,Wardha,3.99,22.73,13.30,17.12,1.41,16.79
Jan,Washim,2.53,21.97,10.48,17.80,0.74,13.04
Jan,Yavatmal,3.99,21.93,12.31,16.90,1.20,16.27
Jan,BestDistrict,2.03,13.41,6.21,11.32,0.47,5.39
Jan,Maharashtra,3.88,20.09,11.49,16.13,1.22,12.70
Nov,Ahmadnagar,3.28,15.80,9.42,12.41,1.02,9.55
Nov,Akola,4.11,20.32,10.36,14.91,1.96,14.39
Nov,Amravati,5.32,25.94,17.58,16.58,2.27,20.16
Nov,Aurangabad,4.98,23.35,14.62,22.69,1.94,15.29
Nov,Beed,4.65,20.19,11.58,17.51,2.03,14.73
Nov,Bhandara,4.07,21.86,10.90,14.76,1.48,14.28
Nov,Buldana,5.20,21.50,13.05,15.62,2.23,14.02
Nov,Chandrapur,4.07,23.64,14.26,21.02,1.89,19.24
Nov,Dhule,4.96,23.81,14.62,19.90,1.93,20.80
Nov,Gadchiroli,7.49,29.60,25.15,19.86,2.56,24.24
Nov,Gondia,4.19,21.22,11.41,17.74,1.68,12.58
Nov,Hingoli,5.49,22.08,15.03,20.87,2.42,18.01
Nov,Jalgaon,4.83,20.99,12.48,14.89,1.78,12.23
Nov,Jalna,5.23,19.49,10.76,23.04,2.65,15.27
Nov,Kolhapur,3.51,16.19,8.15,13.64,1.03,7.12
Nov,Latur,4.18,19.05,9.99,18.58,2.24,13.13
Nov,Mumbai City,7.63,18.48,12.63,12.61,3.37,10.69
Nov,Mumbai Suburban,7.96,20.67,13.49,16.78,2.57,12.53
Nov,Nagpur,5.10,20.31,11.59,16.58,2.08,13.25
Nov,Nanded,4.29,18.40,10.14,17.02,2.14,14.02
Nov,Nandurbar,7.13,29.32,29.85,20.52,2.52,38.44
Nov,Nashik,4.86,22.22,15.28,17.01,2.06,18.37
Nov,Osmanabad,4.46,22.37,11.97,16.88,1.69,12.03
Nov,Palghar,4.78,27.08,23.43,16.10,1.01,27.24
Nov,Parbhani,4.04,21.66,11.09,21.15,1.77,16.04
Nov,Pune,4.20,16.81,9.13,12.12,1.53,8.68
Nov,Raigad,2.84,15.65,7.31,12.98,0.86,8.18
Nov,Ratnagiri,3.47,19.76,11.53,11.55,0.73,9.99
Nov,Sangli,3.29,14.35,6.71,11.48,1.06,6.54
Nov,Satara,2.67,16.86,7.42,12.64,0.90,9.67
Nov,Sindhudurg,4.59,22.06,15.33,17.50,0.96,17.52
Nov,Solapur,3.35,18.52,8.52,14.46,1.34,10.67
Nov,Thane,5.76,20.98,13.29,17.71,1.95,12.82
Nov,Wardha,4.82,22.89,13.83,17.68,2.09,17.64
Nov,Washim,4.50,22.91,12.69,18.07,1.83,14.63
Nov,Yavatmal,4.75,22.44,14.19,18.41,1.92,18.33
Nov,BestDistrict,2.67,14.35,6.71,11.48,0.73,6.54
Nov,Maharashtra,4.63,20.59,12.57,16.57,1.77,14.43
Dec,Ahmadnagar,2.98,15.27,8.95,12.50,0.85,8.72
Dec,Akola,3.88,19.81,9.68,16.64,1.82,13.58
Dec,Amravati,4.80,25.67,16.80,16.47,1.86,18.97
Dec,Aurangabad,4.56,23.19,13.88,18.47,1.43,14.31
Dec,Beed,4.40,19.92,11.01,18.14,1.96,13.65
Dec,Bhandara,3.80,20.94,9.92,16.48,1.39,13.61
Dec,Buldana,4.87,21.34,12.44,14.38,1.48,13.32
Dec,Chandrapur,4.17,23.58,14.10,19.88,1.69,18.00
