month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_intd_6to8mnth_cf_child,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Maharashtra,Ahmadnagar,37762,21553,2088,7366,5483,23262,463,3.83,23.98,11.06,12.5,3375,25772,78744,78437,83877,4202,33355,85088,80.32,77.27,92.54,92.18,98.58,90.21,26.76,88.11,11.32,16.86,95.51,95.02,76.92
Dec,Maharashtra,Akola,13746,9423,1258,2689,2062,7761,205,5.7,33.4,12.25,16.64,1129,8903,24443,23484,27720,1471,12075,28153,76.75,73.73,86.82,83.42,98.46,82.06,11.02,77.16,16.17,11.55,91.93,91.36,73.99
Dec,Maharashtra,Amravati,29792,22016,2154,5564,5667,21908,309,6.66,44.64,21.14,16.47,1666,13336,41045,40272,45665,2176,18871,46583,76.56,70.67,88.11,86.45,98.03,81.93,34.33,79.45,23.6,24.75,91,90.38,71.54
Dec,Maharashtra,Aurangabad,43524,26868,2686,8557,7460,28512,489,6,37.5,17.52,18.47,2452,19984,63093,61447,68587,3139,27605,69819,78.11,72.39,90.37,88.01,98.24,86.25,18.1,83.6,8.86,10.39,91.9,90.94,70.75
Dec,Maharashtra,Beed,25714,17623,2530,5662,3776,15581,389,6.36,33.57,13.68,18.14,1855,15222,45937,46094,50133,2513,20845,51085,73.82,73.02,89.92,90.23,98.14,85.69,11.46,82.29,6.72,8.55,91.75,90.84,72.5
Dec,Maharashtra,Bhandara,13208,8581,872,2390,1736,6845,178,5.18,34.55,12.43,16.48,924,6910,19000,19166,20909,1242,8916,21260,74.4,77.5,89.37,90.15,98.35,86.76,27.95,82.99,26.07,22.9,94.1,93.7,77.04
Dec,Maharashtra,Buldana,27495,17166,1903,6266,4280,19267,296,6.35,34.66,15.2,14.38,1942,15457,44817,44222,49796,2345,20008,50504,82.81,77.25,88.74,87.56,98.6,89.28,32.42,83.93,13.39,17.97,95.54,95.01,75.91
Dec,Maharashtra,Chandrapur,25408,19387,1815,4482,4089,16009,290,5.85,41.58,17.7,19.88,1314,10743,32400,31785,34809,1696,14405,35260,77.48,74.58,91.89,90.14,98.72,86.48,31.71,87.32,20.31,17.45,95.51,94.92,75.95
Dec,Maharashtra,Dhule,25533,20361,1601,4857,5141,17410,357,5.87,41.69,17.45,17.75,1850,13904,38796,37131,43247,2305,18935,43833,80.26,73.43,88.51,84.71,98.66,86.69,19.89,80.74,9.65,8.18,91.28,90.16,70.23
Dec,Maharashtra,Gadchiroli,17077,12840,1198,3912,4749,15180,239,8.83,51.56,31.55,20.25,1002,7009,18892,18200,21199,1373,10164,21595,72.98,68.96,87.48,84.28,98.17,76.67,15.08,75.22,20.82,12.5,88.77,87.54,67.84
