month_n,state_n,district_n,no_enrolled,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,no_enrolled_dt,per_no_enrld
Dec,Maharashtra,Ahmadnagar,73282594,23.98426,3.82624,11.06113,12.50338,975016957,7.52
Dec,Maharashtra,Akola,7450100,33.39772,5.69915,12.24966,16.63961,975016957,0.76
Dec,Maharashtra,Amravati,25309833,44.63744,6.65953,21.14291,16.47122,975016957,2.6
Dec,Maharashtra,Aurangabad,33842600,37.5004,5.99726,17.51792,18.46677,975016957,3.47
Dec,Maharashtra,Beed,25557448,33.56595,6.36134,13.68344,18.14366,975016957,2.62
Dec,Maharashtra,Bhandara,4931385,34.55062,5.18387,12.42975,16.48148,975016957,0.51
Dec,Maharashtra,Buldana,23995980,34.65532,6.34895,15.20456,14.3829,975016957,2.46
Dec,Maharashtra,Chandrapur,18212831,41.58042,5.85316,17.69922,19.87663,975016957,1.87
Dec,Maharashtra,Dhule,16171680,41.68998,5.87459,17.45055,17.75236,975016957,1.66
Dec,Maharashtra,Gadchiroli,7523025,51.56414,8.82587,31.5492,20.25424,975016957,0.77
Dec,Maharashtra,Gondia,7523622,33.39993,5.7798,13.95263,17.36357,975016957,0.77
Dec,Maharashtra,Hingoli,4870825,37.42379,7.24604,17.079,19.95134,975016957,0.5
Dec,Maharashtra,Jalgaon,50241475,31.71776,6.25369,14.62927,14.46108,975016957,5.15
Dec,Maharashtra,Jalna,13869088,34.27777,7.26423,12.85943,20.79268,975016957,1.42
Dec,Maharashtra,Kolhapur,41959995,22.54336,4.15174,9.69096,13.75117,975016957,4.3
Dec,Maharashtra,Latur,17596576,32.57241,5.62009,12.09459,19.09348,975016957,1.8
Dec,Maharashtra,Mumbai City,3056496,28.99103,10.77391,16.19332,16.26214,975016957,0.31
Dec,Maharashtra,Mumbai Suburban,63405758,33.97886,10.60351,17.26264,16.51697,975016957,6.5
Dec,Maharashtra,Nagpur,33923840,32.48806,5.95274,13.69681,17.62618,975016957,3.48
Dec,Maharashtra,Nanded,39225060,31.21966,5.73098,11.95954,16.44951,975016957,4.02
Dec,Maharashtra,Nandurbar,14767370,64.84772,8.24442,39.03098,18.32983,975016957,1.51
Dec,Maharashtra,Nashik,92882310,39.52003,6.50603,18.97218,17.95235,975016957,9.53
Dec,Maharashtra,Osmanabad,9482902,33.557,4.74659,13.83782,13.92694,975016957,0.97
Dec,Maharashtra,Palghar,21452634,54.04668,4.99309,28.95152,16.31818,975016957,2.2
Dec,Maharashtra,Parbhani,9162786,38.04181,5.39855,13.94853,21.41527,975016957,0.94
Dec,Maharashtra,Pune,105376230,24.64404,5.23831,10.4132,11.86088,975016957,10.81
Dec,Maharashtra,Raigad,16769789,22.38233,3.14853,8.61627,12.75611,975016957,1.72
Dec,Maharashtra,Ratnagiri,8420050,30.12936,4.24849,13.72065,15.67164,975016957,0.86
Dec,Maharashtra,Sangli,20495948,19.69221,3.99698,7.57463,9.90453,975016957,2.1
Dec,Maharashtra,Satara,31431064,24.20537,2.98393,8.24878,10.59883,975016957,3.22
Dec,Maharashtra,Sindhudurg,1933834,39.32608,5.25234,18.25063,14.86486,975016957,0.2
Dec,Maharashtra,Solapur,51956382,28.38181,4.22431,9.44752,13.98964,975016957,5.33
Dec,Maharashtra,Thane,46371588,33.62326,7.24393,16.51828,18.40517,975016957,4.76
Dec,Maharashtra,Wardha,5275274,39.50737,6.16893,17.46776,16.21924,975016957,0.54
Dec,Maharashtra,Washim,4412760,36.21204,5.19536,14.87533,17.39573,975016957,0.45
Dec,Maharashtra,Yavatmal,22875825,39.89167,6.34751,17.6062,16.99346,975016957,2.35
Jan,Maharashtra,Ahmadnagar,73303097,23.18643,3.33174,10.43927,13.19366,976648698,7.51
Jan,Maharashtra,Akola,7476606,31.32912,5.16438,11.15999,18.98734,976648698,0.77
Jan,Maharashtra,Amravati,25366659,43.05399,5.75842,20.00795,16.80952,976648698,2.6
Jan,Maharashtra,Aurangabad,33763840,36.88628,5.2401,16.30722,20.21704,976648698,3.46
Jan,Maharashtra,Beed,25593527,32.82603,5.9406,13.27853,20.65796,976648698,2.62
Jan,Maharashtra,Bhandara,4922004,32.9664,4.29883,11.45407,13.09963,976648698,0.5
Jan,Maharashtra,Buldana,23947695,32.4562,5.10118,13.33989,11.86024,976648698,2.45
Jan,Maharashtra,Chandrapur,18213426,41.34014,4.69944,16.30526,19.62071,976648698,1.86
Jan,Maharashtra,Dhule,16141104,39.59604,5.12079,16.07059,20.46093,976648698,1.65
Jan,Maharashtra,Gadchiroli,7480725,51.87058,8.03421,30.26281,19.96105,976648698,0.77
Jan,Maharashtra,Gondia,7505958,34.98873,5.91446,16.25221,16.16304,976648698,0.77
Jan,Maharashtra,Hingoli,4826449,35.55275,6.1627,15.21003,19.27346,976648698,0.49
Jan,Maharashtra,Jalgaon,50202366,29.60294,5.29744,13.51901,14.74316,976648698,5.14
