month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Maharashtra,Ahmadnagar,37762,21553,2088,7366,5483,23262,463,9454,59315,28745,0.85,3.83,8.72,23.98,2.11,11.06,12.5,3375,85088,25772,78744,12779,78437,83877,73024,4202,33355,85088,80.32,77.27,92.54,92.18,98.58,90.21,26.76,88.11,2863,25302,10116,24043,24165,19462,4265,11.32,16.86,95.51,95.02,76.92
Dec,Maharashtra,Akola,13746,9423,1258,2689,2062,7761,205,3947,23169,9823,1.82,5.7,13.58,33.4,2.57,12.25,16.64,1129,28153,8903,24443,4017,23484,27720,10702,1471,12075,28153,76.75,73.73,86.82,83.42,98.46,82.06,11.02,77.16,1428,8832,3809,8069,8119,6535,1020,16.17,11.55,91.93,91.36,73.99
Dec,Maharashtra,Amravati,29792,22016,2154,5564,5667,21908,309,7718,51808,27575,1.86,6.66,18.97,44.64,4.35,21.14,16.47,1666,46583,13336,41045,6632,40272,45665,53465,2176,18871,46583,76.56,70.67,88.11,86.45,98.03,81.93,34.33,79.45,3216,13628,6395,12317,12402,9750,3373,23.6,24.75,91,90.38,71.54
Dec,Maharashtra,Aurangabad,43524,26868,2686,8557,7460,28512,489,11243,70392,35972,1.43,6,14.31,37.5,3.63,17.52,18.47,2452,69819,19984,63093,10428,61447,68587,42291,3139,27605,69819,78.11,72.39,90.37,88.01,98.24,86.25,18.1,83.6,1943,21939,8190,19951,20162,15521,2279,8.86,10.39,91.9,90.94,70.75
Dec,Maharashtra,Beed,25714,17623,2530,5662,3776,15581,389,8192,43337,19357,1.96,6.36,13.65,33.57,2.67,13.68,18.14,1855,51085,15222,45937,7375,46094,50133,20548,2513,20845,51085,73.82,73.02,89.92,90.23,98.14,85.69,11.46,82.29,1069,15914,5257,14457,14601,11538,1360,6.72,8.55,91.75,90.84,72.5
Dec,Maharashtra,Bhandara,13208,8581,872,2390,1736,6845,178,3262,21789,8581,1.39,5.18,13.61,34.55,2.51,12.43,16.48,924,21260,6910,19000,2963,19166,20909,19636,1242,8916,21260,74.4,77.5,89.37,90.15,98.35,86.76,27.95,82.99,1741,6678,3824,6257,6284,5145,1529,26.07,22.9,94.1,93.7,77.04
Dec,Maharashtra,Buldana,27495,17166,1903,6266,4280,19267,296,8169,44661,23547,1.48,6.35,13.32,34.66,2.76,15.2,14.38,1942,50504,15457,44817,7380,44222,49796,53046,2345,20008,50504,82.81,77.25,88.74,87.56,98.6,89.28,32.42,83.93,2019,15084,6495,14332,14411,11451,2710,13.39,17.97,95.54,95.01,75.91
Dec,Maharashtra,Chandrapur,25408,19387,1815,4482,4089,16009,290,6297,44795,20098,1.69,5.85,18,41.58,3.6,17.7,19.88,1314,35260,10743,32400,4675,31785,34809,36889,1696,14405,35260,77.48,74.58,91.89,90.14,98.72,86.48,31.71,87.32,2018,9938,4747,9433,9492,7548,1734,20.31,17.45,95.51,94.92,75.95
Dec,Maharashtra,Dhule,25533,20361,1601,4857,5141,17410,357,6458,45894,22551,1.46,5.87,18.5,41.69,3.98,17.45,17.75,1850,43833,13904,38796,6918,37131,43247,28717,2305,18935,43833,80.26,73.43,88.51,84.71,98.66,86.69,19.89,80.74,1219,12628,4563,11385,11527,8869,1033,9.65,8.18,91.28,90.16,70.23
Dec,Maharashtra,Gadchiroli,17077,12840,1198,3912,4749,15180,239,5110,29917,19929,2.07,8.83,22.13,51.56,7.52,31.55,20.25,1002,21595,7009,18892,2731,18200,21199,11393,1373,10164,21595,72.98,68.96,87.48,84.28,98.17,76.67,15.08,75.22,1479,7104,3236,6219,6306,4819,888,20.82,12.5,88.77,87.54,67.84
Dec,Maharashtra,Gondia,16790,9790,1235,3360,2468,9650,245,4595,26580,12118,1.55,5.78,12.3,33.4,2.84,13.95,17.36,1235,26206,8189,23104,3486,23245,25863,22375,1536,10635,26206,80.4,77,88.16,88.7,98.69,89.43,27.25,83.92,2041,8336,4435,7904,7923,6316,1670,24.48,20.03,95.05,94.82,75.77
Dec,Maharashtra,Hingoli,12722,9684,1364,2965,2874,10070,246,4329,22406,12944,2.28,7.25,16.17,37.42,3.79,17.08,19.95,1062,25027,8622,22412,3550,21986,24548,8430,1412,11612,25027,75.21,74.25,89.55,87.85,98.09,85.3,9.87,81.44,1161,7900,3031,7164,7206,5770,648,14.7,8.2,91.22,90.68,73.04
Dec,Maharashtra,Jalgaon,44991,23906,3537,10026,6078,28146,483,13563,68897,34224,1.63,6.25,11.01,31.72,2.6,14.63,14.46,3031,77523,22920,71311,11729,68222,76391,157336,3772,30846,77523,80.36,74.3,91.99,88,98.54,89.97,62.47,86.63,2603,22740,11548,21183,21398,16981,4206,11.45,18.5,94.1,93.15,74.67
Dec,Maharashtra,Jalna,23102,17814,2956,5688,3758,13697,341,8644,40916,17455,2.48,7.26,14.92,34.28,2.77,12.86,20.79,1532,41048,12574,36583,6278,35909,40152,16793,1982,16799,41048,77.3,74.85,89.12,87.48,97.82,88.09,12.11,82.74,1197,13026,4716,12169,12277,9754,1490,9.19,11.44,94.25,93.42,74.88
Dec,Maharashtra,Kolhapur,27111,11256,1542,5518,3399,14754,294,7060,38367,18153,0.91,4.15,6.61,22.54,1.81,9.69,13.75,1976,60454,15704,55005,8438,55712,59923,56636,2481,21053,60454,79.65,74.59,90.99,92.16,99.12,90.48,29.11,87.59,2110,16956,7192,16178,16255,12557,1569,12.44,9.25,95.87,95.41,74.06
