month_n,state_n,district_n,sub_district,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child
Dec,Maharashtra,Ahmadnagar,Akola,3563,3543,264,803,996,3321,38,1067,7106,4317,1.91,7.71,25.57,51.28,6.51,28.22,19.1,203,1601,608,1460,1468,1132,198,12.68,12.37,91.69,91.19,70.71,164,4893,1458,4444,683,4410,4806,1663,219,2006,4893,74.89,72.68,90.82,90.13,98.22,70.41,9.86,80.76
Dec,Maharashtra,Ahmadnagar,Jamkhed,1630,936,128,428,271,1117,11,556,2566,1388,1.46,6.35,10.67,29.25,2.92,14.97,10.89,76,969,340,895,909,739,58,7.84,5.99,93.81,92.36,76.26,100,3172,943,2828,478,2961,3134,1262,144,1272,3172,69.44,74.14,89.16,93.35,98.8,87.07,12.01,82.81
Dec,Maharashtra,Ahmadnagar,Karjat,1884,1115,235,599,314,1379,29,834,2999,1693,1.92,6.82,9.11,24.5,2.36,12.7,14.43,132,1275,534,1201,1213,979,157,10.35,12.31,95.14,94.2,76.78,193,4577,1418,4189,669,4405,4509,3543,240,1831,4577,80.42,77.44,91.52,96.24,98.51,90.65,23.86,87.42
Dec,Maharashtra,Ahmadnagar,Kopargaon,1838,791,46,281,228,916,34,327,2629,1144,0.31,2.23,5.4,17.93,1.47,7.39,14.41,144,1428,613,1361,1371,1193,186,10.08,13.03,96.01,95.31,83.54,219,4722,1556,4334,714,4473,4668,1782,257,2004,4722,85.21,77.64,91.78,94.73,98.86,90.96,11.36,85.99
Dec,Maharashtra,Ahmadnagar,Nagar,6891,3334,533,1605,825,3994,90,2138,10225,4819,1.19,4.78,7.45,22.85,1.76,10.28,13.66,480,4536,1526,4334,4328,3516,557,10.58,12.28,95.41,95.55,77.51,599,16196,4649,14903,2375,14668,15984,12086,744,5980,16196,80.51,77.74,92.02,90.57,98.69,92.59,23.98,88.79
Dec,Maharashtra,Ahmadnagar,Nevasa,3117,1664,111,470,416,1677,43,581,4781,2093,0.46,2.4,6.87,19.74,1.64,8.24,12.04,222,2381,889,2255,2278,1813,339,9.32,14.24,95.67,94.71,76.14,329,8106,2363,7569,1219,7008,7957,4059,414,3050,8106,79.47,77.48,93.38,86.45,98.16,92.91,15.74,90.29
Dec,Maharashtra,Ahmadnagar,Parner,2171,1248,86,349,235,1162,19,435,3419,1397,0.54,2.75,7.88,21.58,1.43,8.49,8.12,217,1541,763,1484,1489,1183,398,14.08,25.83,96.63,96.3,76.77,207,5377,1539,4947,851,4947,5319,7218,260,1958,5377,79.62,78.6,92,92,98.92,93.31,42.96,88.7
Dec,Maharashtra,Ahmadnagar,Pathardi,1760,810,71,288,190,905,18,359,2570,1095,0.55,2.79,6.29,19.97,1.44,8.32,10.71,133,1235,566,1161,1174,936,308,10.77,24.94,95.06,94.01,75.79,150,4353,1332,4144,624,3908,4252,4731,199,1758,4353,75.38,75.77,95.2,89.78,97.68,92.17,35.17,91.24
Dec,Maharashtra,Ahmadnagar,Rahta,2786,1414,124,527,390,1819,33,651,4200,2209,0.74,3.88,8.43,25.05,2.24,12.68,13.64,247,1711,741,1657,1662,1322,499,14.44,29.16,97.14,96.84,77.26,236,5422,1721,5001,853,5229,5370,8916,283,2192,5422,83.39,78.51,92.24,96.44,99.04,91.23,49.34,86.88
Dec,Maharashtra,Ahmadnagar,Rahuri,2705,1616,63,292,307,1293,13,355,4321,1600,0.4,2.23,10.14,27.11,1.85,9.64,5.8,174,1718,838,1625,1638,1317,442,10.13,25.73,95.34,94.59,76.66,188,5459,1638,5114,852,5029,5386,7999,256,2135,5459,73.44,76.72,93.68,92.12,98.66,91.03,45.9,89.37
