"month_n","state_n","district_n","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Ahmadnagar",37762,21553,2088,7366,5483,23262,463,0.85,3.83,23.98,8.72,11.06,2.11,12.50
"Dec","Maharashtra","Akola",13746,9423,1258,2689,2062,7761,205,1.82,5.70,33.40,13.58,12.25,2.57,16.64
"Dec","Maharashtra","Amravati",29792,22016,2154,5564,5667,21908,309,1.86,6.66,44.64,18.97,21.14,4.35,16.47
"Dec","Maharashtra","Aurangabad",43524,26868,2686,8557,7460,28512,489,1.43,6.00,37.50,14.31,17.52,3.63,18.47
"Dec","Maharashtra","Beed",25714,17623,2530,5662,3776,15581,389,1.96,6.36,33.57,13.65,13.68,2.67,18.14
"Dec","Maharashtra","Bhandara",13208,8581,872,2390,1736,6845,178,1.39,5.18,34.55,13.61,12.43,2.51,16.48
"Dec","Maharashtra","Buldana",27495,17166,1903,6266,4280,19267,296,1.48,6.35,34.66,13.32,15.20,2.76,14.38
"Dec","Maharashtra","Chandrapur",25408,19387,1815,4482,4089,16009,290,1.69,5.85,41.58,18.00,17.70,3.60,19.88
"Dec","Maharashtra","Dhule",25533,20361,1601,4857,5141,17410,357,1.46,5.87,41.69,18.50,17.45,3.98,17.75
"Dec","Maharashtra","Gadchiroli",17077,12840,1198,3912,4749,15180,239,2.07,8.83,51.56,22.13,31.55,7.52,20.25
"Dec","Maharashtra","Gondia",16790,9790,1235,3360,2468,9650,245,1.55,5.78,33.40,12.30,13.95,2.84,17.36
"Dec","Maharashtra","Hingoli",12722,9684,1364,2965,2874,10070,246,2.28,7.25,37.42,16.17,17.08,3.79,19.95
"Dec","Maharashtra","Jalgaon",44991,23906,3537,10026,6078,28146,483,1.63,6.25,31.72,11.01,14.63,2.60,14.46
"Dec","Maharashtra","Jalna",23102,17814,2956,5688,3758,13697,341,2.48,7.26,34.28,14.92,12.86,2.77,20.79
"Dec","Maharashtra","Kolhapur",27111,11256,1542,5518,3399,14754,294,0.91,4.15,22.54,6.61,9.69,1.81,13.75
"Dec","Maharashtra","Latur",16945,11236,1742,3111,2977,10638,337,2.02,5.62,32.57,12.99,12.09,2.64,19.09
"Dec","Maharashtra","Mumbai City",6127,3763,1074,2572,1433,5506,67,3.17,10.77,28.99,11.03,16.19,3.34,16.26
"Dec","Maharashtra","Mumbai Suburban",30196,18090,3879,11122,6417,26150,331,2.74,10.60,33.98,12.73,17.26,3.40,16.52
"Dec","Maharashtra","Nagpur",26950,16802,2185,5815,4473,19310,447,1.63,5.95,32.49,12.48,13.70,2.58,17.63
"Dec","Maharashtra","Nanded",27568,20022,2778,5934,5030,18545,505,1.83,5.73,31.22,13.13,11.96,2.55,16.45
"Dec","Maharashtra","Nandurbar",30496,36445,1739,6753,11417,32060,349,1.69,8.24,64.85,35.31,39.03,10.25,18.33
"Dec","Maharashtra","Nashik",60092,47623,5132,12578,13332,46592,633,1.89,6.51,39.52,17.47,18.97,4.22,17.95
"Dec","Maharashtra","Osmanabad",21233,10824,954,3576,2556,11294,183,1.00,4.75,33.56,11.33,13.84,2.55,13.93
"Dec","Maharashtra","Palghar",34581,33153,1025,5223,8257,30796,359,0.82,4.99,54.05,26.45,28.95,6.12,16.32
"Dec","Maharashtra","Parbhani",15502,11556,1071,2761,2628,9333,230,1.51,5.40,38.04,16.25,13.95,3.06,21.42
"Dec","Maharashtra","Pune",44703,22713,3869,10444,5967,28120,399,1.42,5.24,24.64,8.30,10.41,1.82,11.86
"Dec","Maharashtra","Raigad",13202,6494,634,2134,1856,6785,193,0.72,3.15,22.38,7.38,8.62,1.85,12.76
