"month_n","state_n","district_n","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Dec","Maharashtra","Ahmadnagar",3375,85088,25772,78744,12779,78437,83877,73024,4202,33355,85088,80.32,77.27,92.54,92.18,98.58,90.21,26.76,88.11
"Dec","Maharashtra","Akola",1129,28153,8903,24443,4017,23484,27720,10702,1471,12075,28153,76.75,73.73,86.82,83.42,98.46,82.06,11.02,77.16
"Dec","Maharashtra","Amravati",1666,46583,13336,41045,6632,40272,45665,53465,2176,18871,46583,76.56,70.67,88.11,86.45,98.03,81.93,34.33,79.45
"Dec","Maharashtra","Aurangabad",2452,69819,19984,63093,10428,61447,68587,42291,3139,27605,69819,78.11,72.39,90.37,88.01,98.24,86.25,18.10,83.60
"Dec","Maharashtra","Beed",1855,51085,15222,45937,7375,46094,50133,20548,2513,20845,51085,73.82,73.02,89.92,90.23,98.14,85.69,11.46,82.29
"Dec","Maharashtra","Bhandara",924,21260,6910,19000,2963,19166,20909,19636,1242,8916,21260,74.40,77.50,89.37,90.15,98.35,86.76,27.95,82.99
"Dec","Maharashtra","Buldana",1942,50504,15457,44817,7380,44222,49796,53046,2345,20008,50504,82.81,77.25,88.74,87.56,98.60,89.28,32.42,83.93
"Dec","Maharashtra","Chandrapur",1314,35260,10743,32400,4675,31785,34809,36889,1696,14405,35260,77.48,74.58,91.89,90.14,98.72,86.48,31.71,87.32
"Dec","Maharashtra","Dhule",1850,43833,13904,38796,6918,37131,43247,28717,2305,18935,43833,80.26,73.43,88.51,84.71,98.66,86.69,19.89,80.74
"Dec","Maharashtra","Gadchiroli",1002,21595,7009,18892,2731,18200,21199,11393,1373,10164,21595,72.98,68.96,87.48,84.28,98.17,76.67,15.08,75.22
"Dec","Maharashtra","Gondia",1235,26206,8189,23104,3486,23245,25863,22375,1536,10635,26206,80.40,77.00,88.16,88.70,98.69,89.43,27.25,83.92
"Dec","Maharashtra","Hingoli",1062,25027,8622,22412,3550,21986,24548,8430,1412,11612,25027,75.21,74.25,89.55,87.85,98.09,85.30,9.87,81.44
"Dec","Maharashtra","Jalgaon",3031,77523,22920,71311,11729,68222,76391,157336,3772,30846,77523,80.36,74.30,91.99,88.00,98.54,89.97,62.47,86.63
"Dec","Maharashtra","Jalna",1532,41048,12574,36583,6278,35909,40152,16793,1982,16799,41048,77.30,74.85,89.12,87.48,97.82,88.09,12.11,82.74
"Dec","Maharashtra","Kolhapur",1976,60454,15704,55005,8438,55712,59923,56636,2481,21053,60454,79.65,74.59,90.99,92.16,99.12,90.48,29.11,87.59
"Dec","Maharashtra","Latur",1549,41139,12729,37794,5841,37270,40207,21262,2084,17571,41139,74.33,72.44,91.87,90.60,97.73,83.79,15.52,83.93
"Dec","Maharashtra","Mumbai City",365,16278,3894,14554,2094,14649,16156,7159,490,5588,16278,74.49,69.69,89.41,89.99,99.25,80.08,10.94,78.94
"Dec","Maharashtra","Mumbai Suburban",1814,78881,18174,68936,10196,72917,78170,49796,2330,25001,78881,77.85,72.69,87.39,92.44,99.10,84.76,16.80,80.47
"Dec","Maharashtra","Nagpur",2282,61700,18527,55735,8591,54448,60746,46697,2859,25302,61700,79.82,73.22,90.33,88.25,98.45,84.72,23.43,83.31
"Dec","Maharashtra","Nanded",2562,65770,21517,59558,9491,58749,64266,27861,3368,28848,65770,76.07,74.59,90.55,89.32,97.71,86.89,12.71,83.11
"Dec","Maharashtra","Nandurbar",1703,34647,12107,30061,5149,29455,33985,19047,2224,16945,34647,76.57,71.45,86.76,85.01,98.09,83.55,16.43,78.93
"Dec","Maharashtra","Nashik",3154,105444,28523,94624,15533,93101,103665,131342,4211,39203,105444,74.90,72.76,89.74,88.29,98.31,89.30,38.34,84.75
"Dec","Maharashtra","Osmanabad",1123,31848,9309,29355,4580,29263,31232,16009,1454,12283,31848,77.24,75.79,92.17,91.88,98.07,90.16,15.83,87.62
"Dec","Maharashtra","Palghar",1848,43448,12152,37296,6179,38940,42848,18156,2482,17210,43448,74.46,70.61,85.84,89.62,98.62,79.60,11.35,74.57
"Dec","Maharashtra","Parbhani",1007,29592,8631,26561,4186,26510,29072,16440,1256,11929,29592,80.18,72.35,89.76,89.59,98.24,85.94,16.21,82.40
"Dec","Maharashtra","Pune",2979,108683,25965,97788,14540,100663,107371,93322,3853,36024,108683,77.32,72.08,89.98,92.62,98.79,85.36,25.04,83.07
"Dec","Maharashtra","Raigad",1291,33665,9715,30134,4925,31310,33277,34867,1695,13476,33665,76.17,72.09,89.51,93.00,98.85,81.87,29.15,80.24
"Dec","Maharashtra","Ratnagiri",697,19520,5223,17175,2634,18634,19366,24312,908,7113,19520,76.76,73.43,87.99,95.46,99.21,87.16,35.15,81.41
"Dec","Maharashtra","Sangli",1532,43800,12171,40083,6384,40389,43333,20538,1978,17355,43800,77.45,70.13,91.51,92.21,98.93,82.74,14.04,81.38
"Dec","Maharashtra","Satara",1625,45414,12595,41547,6501,43040,44994,49703,2161,17133,45414,75.20,73.51,91.49,94.77,99.08,87.21,33.46,86.64
"Dec","Maharashtra","Sindhudurg",337,8342,2311,7029,1182,7791,8265,9544,417,3259,8342,80.82,70.91,84.26,93.39,99.08,82.37,31.50,75.43
"Dec","Maharashtra","Solapur",2931,78998,22705,71362,11396,72102,77906,53242,3809,30733,78998,76.95,73.88,90.33,91.27,98.62,86.93,20.36,83.77
"Dec","Maharashtra","Thane",2065,73943,18149,66749,10288,66487,73142,43491,2642,24790,73943,78.16,73.21,90.27,89.92,98.92,87.56,16.60,84.46
"Dec","Maharashtra","Wardha",733,20859,6529,18687,2926,18947,20505,16137,1041,8619,20859,70.41,75.75,89.59,90.83,98.30,84.69,23.53,83.67
"Dec","Maharashtra","Washim",861,23029,7234,20549,3341,19786,22499,19471,1143,9958,23029,75.33,72.65,89.23,85.92,97.70,85.27,25.86,82.07
"Dec","Maharashtra","Yavatmal",1739,47402,14935,42953,6772,41667,46497,30383,2308,20849,47402,75.35,71.63,90.61,87.90,98.09,82.81,18.45,80.74
"Jan","Maharashtra","Ahmadnagar",3292,85351,25745,79332,12413,78519,84183,76842,4029,33232,85351,81.71,77.47,92.95,92.00,98.63,89.51,28.14,88.84
"Jan","Maharashtra","Akola",1153,28951,9139,25418,4135,24177,28506,11769,1481,12286,28951,77.85,74.39,87.80,83.51,98.46,83.86,12.09,79.72
"Jan","Maharashtra","Amravati",1789,47393,13765,42130,6638,40986,46499,56651,2336,19060,47393,76.58,72.22,88.89,86.48,98.11,83.44,36.31,81.58
"Jan","Maharashtra","Aurangabad",2378,71058,20041,64681,10519,62269,69832,44820,2954,27186,71058,80.50,73.72,91.03,87.63,98.27,88.34,19.22,85.49
"Jan","Maharashtra","Beed",1774,51682,15348,46792,7383,46589,50763,21977,2355,20521,51682,75.33,74.79,90.54,90.15,98.22,87.07,12.22,84.00
"Jan","Maharashtra","Bhandara",941,21381,6971,19328,2898,19164,21082,21141,1223,8955,21381,76.94,77.84,90.40,89.63,98.60,86.95,30.12,84.73
"Jan","Maharashtra","Buldana",1955,50896,15298,45550,7327,44608,50212,55551,2283,19821,50896,85.63,77.18,89.50,87.65,98.66,88.83,33.99,85.00
"Jan","Maharashtra","Chandrapur",1223,35430,10958,32775,4698,31919,34983,38646,1593,14440,35430,76.77,75.89,92.51,90.09,98.74,86.63,33.19,88.42
"Jan","Maharashtra","Dhule",1634,44912,13702,40005,7143,38165,44372,30351,2000,18441,44912,81.70,74.30,89.07,84.98,98.80,88.83,21.04,82.79
"Jan","Maharashtra","Gadchiroli",868,22112,7046,19521,2844,18677,21719,12534,1144,9923,22112,75.87,71.01,88.28,84.47,98.22,79.35,16.62,78.65
"Jan","Maharashtra","Gondia",1230,26016,8348,23161,3491,22943,25707,23620,1532,10729,26016,80.29,77.81,89.03,88.19,98.81,89.19,28.77,85.22
"Jan","Maharashtra","Hingoli",886,25813,8272,23437,3785,22715,25353,9692,1102,10862,25813,80.40,76.16,90.80,88.00,98.22,89.27,11.40,85.01
"Jan","Maharashtra","Jalgaon",2765,78274,22575,72401,11657,68909,77185,169349,3411,30441,78274,81.06,74.16,92.50,88.04,98.61,89.96,67.21,87.84
"Jan","Maharashtra","Jalna",1404,41362,12410,37172,6343,36167,40472,18169,1732,16510,41362,81.06,75.17,89.87,87.44,97.85,88.40,13.11,83.98
"Jan","Maharashtra","Kolhapur",1970,60797,15885,55875,8458,56072,60289,58700,2442,20911,60797,80.67,75.96,91.90,92.23,99.16,91.04,30.06,89.00
"Jan","Maharashtra","Latur",1481,41574,12697,38475,5869,37635,40628,24822,1952,17322,41574,75.87,73.30,92.55,90.53,97.72,83.71,18.07,85.47
"Jan","Maharashtra","Mumbai City",345,16612,4044,14898,2142,14962,16491,7630,449,5570,16612,76.84,72.60,89.68,90.07,99.27,82.16,11.62,81.06
"Jan","Maharashtra","Mumbai Suburban",1744,79812,19168,70114,10110,73863,79023,52501,2168,25432,79812,80.44,75.37,87.85,92.55,99.01,86.15,17.62,81.95
"Jan","Maharashtra","Nagpur",2462,62961,19079,57190,8677,55540,62043,50142,2974,25520,62961,82.78,74.76,90.83,88.21,98.54,85.50,25.04,85.14
"Jan","Maharashtra","Nanded",2450,66468,21466,60590,9750,59231,64933,30541,3169,28530,66468,77.31,75.24,91.16,89.11,97.69,88.00,13.92,84.57
"Jan","Maharashtra","Nandurbar",1505,35077,12005,30557,5697,29917,34435,20237,1933,16595,35077,77.86,72.34,87.11,85.29,98.17,84.15,17.52,79.83
"Jan","Maharashtra","Nashik",3298,106881,28727,96781,15635,94394,105076,149364,4228,38932,106881,78.00,73.79,90.55,88.32,98.31,90.22,43.56,86.18
"Jan","Maharashtra","Osmanabad",1114,31884,9319,29634,4381,29350,31309,17670,1374,12116,31884,81.08,76.91,92.94,92.05,98.20,89.30,17.53,88.97
"Jan","Maharashtra","Palghar",1773,44746,13055,38645,5935,39981,44159,20270,2320,17480,44746,76.42,74.69,86.37,89.35,98.69,82.18,12.60,77.57
"Jan","Maharashtra","Parbhani",1002,29701,8646,26757,4103,26577,29180,17506,1218,11728,29701,82.27,73.72,90.09,89.48,98.25,86.18,17.31,83.91
"Jan","Maharashtra","Pune",2975,111413,27396,101363,14521,102990,110155,101901,3886,36484,111413,76.56,75.09,90.98,92.44,98.87,87.95,27.22,85.79
"Jan","Maharashtra","Raigad",1160,34321,9938,30927,4749,31750,33940,36335,1456,13369,34321,79.67,74.34,90.11,92.51,98.89,84.04,30.23,82.37
"Jan","Maharashtra","Ratnagiri",704,19667,5528,17404,2488,18822,19533,24883,884,7265,19667,79.64,76.09,88.49,95.70,99.32,86.72,35.96,82.93
"Jan","Maharashtra","Sangli",1591,45068,12662,41583,6382,41711,44598,22290,2052,17274,45068,77.53,73.30,92.27,92.55,98.96,85.94,15.20,84.58
"Jan","Maharashtra","Satara",1485,45930,12961,42390,6479,43677,45569,51629,1930,16932,45930,76.94,76.55,92.29,95.09,99.21,88.50,34.66,88.44
"Jan","Maharashtra","Sindhudurg",294,8492,2335,7183,1174,7994,8422,9793,363,3261,8492,80.99,71.60,84.59,94.14,99.18,82.85,32.11,76.56
"Jan","Maharashtra","Solapur",2688,79618,23098,72554,10873,72618,78571,56799,3460,30448,79618,77.69,75.86,91.13,91.21,98.68,88.46,21.64,85.48
"Jan","Maharashtra","Thane",1883,74929,18854,67932,9874,67265,74116,46451,2380,24956,74929,79.12,75.55,90.66,89.77,98.91,87.50,17.54,85.60
"Jan","Maharashtra","Wardha",822,21042,6547,19001,2825,19086,20693,17464,1106,8607,21042,74.32,76.07,90.30,90.70,98.34,81.04,25.44,84.50
"Jan","Maharashtra","Washim",882,23605,7178,21238,3412,20352,23107,20261,1163,9728,23605,75.84,73.79,89.97,86.22,97.89,86.71,26.95,84.16
"Jan","Maharashtra","Yavatmal",1912,48843,15259,44504,6963,42682,47929,32483,2451,20793,48843,78.01,73.39,91.12,87.39,98.13,84.12,19.75,83.15
