"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svrly_wstd","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","wstd_chld","stntd_chld","uw_chld","svrly_wasting_percent","wasting_percent","svrly_stunting_percent","stunting_percent","svrly_underweight_percent","underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Ahmadnagar","Akola",3563,3543,264,803,996,3321,38,1067,7106,4317,1.91,7.71,25.57,51.28,6.51,28.22,19.10
"Dec","Maharashtra","Ahmadnagar","Jamkhed",1630,936,128,428,271,1117,11,556,2566,1388,1.46,6.35,10.67,29.25,2.92,14.97,10.89
"Dec","Maharashtra","Ahmadnagar","Karjat",1884,1115,235,599,314,1379,29,834,2999,1693,1.92,6.82,9.11,24.50,2.36,12.70,14.43
"Dec","Maharashtra","Ahmadnagar","Kopargaon",1838,791,46,281,228,916,34,327,2629,1144,0.31,2.23,5.40,17.93,1.47,7.39,14.41
"Dec","Maharashtra","Ahmadnagar","Nagar",6891,3334,533,1605,825,3994,90,2138,10225,4819,1.19,4.78,7.45,22.85,1.76,10.28,13.66
"Dec","Maharashtra","Ahmadnagar","Nevasa",3117,1664,111,470,416,1677,43,581,4781,2093,0.46,2.40,6.87,19.74,1.64,8.24,12.04
"Dec","Maharashtra","Ahmadnagar","Parner",2171,1248,86,349,235,1162,19,435,3419,1397,0.54,2.75,7.88,21.58,1.43,8.49,8.12
"Dec","Maharashtra","Ahmadnagar","Pathardi",1760,810,71,288,190,905,18,359,2570,1095,0.55,2.79,6.29,19.97,1.44,8.32,10.71
"Dec","Maharashtra","Ahmadnagar","Rahta",2786,1414,124,527,390,1819,33,651,4200,2209,0.74,3.88,8.43,25.05,2.24,12.68,13.64
"Dec","Maharashtra","Ahmadnagar","Rahuri",2705,1616,63,292,307,1293,13,355,4321,1600,0.40,2.23,10.14,27.11,1.85,9.64,5.80
"Dec","Maharashtra","Ahmadnagar","Sangamner",3343,1565,181,689,506,2058,55,870,4908,2564,0.72,3.48,6.25,19.61,1.91,9.66,14.51
"Dec","Maharashtra","Ahmadnagar","Shevgaon",1803,1086,85,307,224,972,41,392,2889,1196,0.61,2.83,7.81,20.76,1.51,8.06,17.01
"Dec","Maharashtra","Ahmadnagar","Shrigonda",2009,1140,57,347,262,1178,18,404,3149,1440,0.36,2.56,7.20,19.90,1.61,8.85,6.82
"Dec","Maharashtra","Ahmadnagar","Shrirampur",2262,1291,104,381,319,1471,21,485,3553,1790,0.82,3.84,10.22,28.14,2.46,13.81,10.61
"Dec","Maharashtra","Akola","Akola",4922,2867,440,1041,768,2878,85,1481,7789,3646,1.76,5.91,11.42,31.04,2.45,11.61,16.87
"Dec","Maharashtra","Akola","Akot",1567,1188,98,326,248,974,22,424,2755,1222,1.18,5.11,14.30,33.16,2.65,13.06,13.92
"Dec","Maharashtra","Akola","Balapur",1386,1029,151,313,251,824,28,464,2415,1075,2.13,6.54,14.50,34.03,3.27,13.99,24.78
"Dec","Maharashtra","Akola","Barshitakli",1808,1414,152,294,200,1048,11,446,3222,1248,1.82,5.35,16.92,38.55,2.26,14.12,10.89
"Dec","Maharashtra","Akola","Murtijapur",938,680,137,212,170,506,16,349,1618,676,2.36,6.01,11.69,27.82,2.67,10.62,16.67
"Dec","Maharashtra","Akola","Patur",1761,1231,163,305,237,796,19,468,2992,1033,2.17,6.24,16.36,39.76,3.04,13.24,16.10
"Dec","Maharashtra","Akola","Telhara",1364,1014,117,198,188,735,24,315,2378,923,1.63,4.40,14.14,33.16,2.15,10.56,16.90
"Dec","Maharashtra","Amravati","Achalpur",3667,2638,684,989,662,2954,49,1673,6305,3616,3.80,9.29,14.62,34.95,3.11,16.98,13.73
"Dec","Maharashtra","Amravati","Amravati",5918,3601,672,1488,1045,4214,76,2160,9519,5259,2.64,8.48,14.11,37.30,3.40,17.10,18.23
"Dec","Maharashtra","Amravati","Anjangaon Surji",1046,551,39,151,138,582,3,190,1597,720,0.81,3.96,11.46,33.23,2.60,13.58,5.88
"Dec","Maharashtra","Amravati","Bhatkuli",1732,1024,65,288,299,1147,19,353,2756,1446,1.08,5.88,17.03,45.83,4.87,23.56,25.68
"Dec","Maharashtra","Amravati","Chandurbazar",2389,1599,78,269,330,1520,24,347,3988,1850,0.85,3.80,17.49,43.62,3.33,18.65,15.09
"Dec","Maharashtra","Amravati","Chandur Railway",918,824,27,128,135,586,11,155,1742,721,0.74,4.25,22.57,47.71,3.32,17.74,17.19
"Dec","Maharashtra","Amravati","Chikhaldara",1716,2005,64,315,544,1756,28,379,3721,2300,1.15,6.83,36.09,66.97,8.88,37.55,25.45
"Dec","Maharashtra","Amravati","Daryapur",1844,1009,68,263,244,1104,8,331,2853,1348,1.06,5.14,15.67,44.32,3.64,20.12,12.12
"Dec","Maharashtra","Amravati","Dhamangaon Railway",1630,1330,63,237,296,1066,18,300,2960,1362,1.17,5.56,24.63,54.81,5.28,24.29,23.38
"Dec","Maharashtra","Amravati","Dharni",2195,3000,128,459,936,2404,33,587,5195,3340,1.71,7.82,39.84,68.98,11.51,41.06,18.75
"Dec","Maharashtra","Amravati","Morshi",1570,1114,49,203,226,1029,10,252,2684,1255,0.80,4.13,18.21,43.86,3.09,17.14,11.24
"Dec","Maharashtra","Amravati","Nandgaon-Khandeshwar",1607,1151,68,207,264,1076,9,275,2758,1340,1.22,4.94,20.66,49.50,4.38,22.22,10.59
"Dec","Maharashtra","Amravati","Teosa",1423,910,63,203,198,900,8,266,2333,1098,1.32,5.59,19.13,49.05,3.93,21.79,14.81
"Dec","Maharashtra","Amravati","Warud",2137,1260,86,364,350,1570,13,450,3397,1920,1.14,5.99,16.76,45.18,4.37,24.00,13.40
"Dec","Maharashtra","Aurangabad","Aurangabad",11880,7645,872,2575,2172,8355,162,3447,19525,10527,1.63,6.45,14.27,36.45,3.55,17.22,22.41
"Dec","Maharashtra","Aurangabad","Gangapur",7815,4513,331,1508,1401,5464,54,1839,12328,6865,1.16,6.45,15.82,43.22,4.68,22.91,16.36
"Dec","Maharashtra","Aurangabad","Kannad",4138,2834,387,973,855,2842,57,1360,6972,3697,1.95,6.86,14.28,35.13,3.92,16.95,17.12
"Dec","Maharashtra","Aurangabad","Khuldabad",1228,800,54,199,225,897,12,253,2028,1122,1.01,4.72,14.92,37.81,3.55,17.70,14.46
"Dec","Maharashtra","Aurangabad","Paithan",5255,2940,347,1039,838,3174,71,1386,8195,4012,1.52,6.09,12.90,35.95,3.48,16.64,21.45
"Dec","Maharashtra","Aurangabad","Phulambri",2505,1350,77,340,364,1431,28,417,3855,1795,0.71,3.84,12.42,35.47,3.10,15.31,23.53
"Dec","Maharashtra","Aurangabad","Sillod",4467,3136,245,741,629,2473,47,986,7603,3102,1.15,4.63,14.71,35.67,2.70,13.33,15.61
"Dec","Maharashtra","Aurangabad","Soegaon",2362,1439,149,414,455,1580,25,563,3801,2035,1.87,7.05,18.01,47.57,5.58,24.94,16.34
"Dec","Maharashtra","Aurangabad","Vaijapur",3874,2211,224,768,521,2296,33,992,6085,2817,1.29,5.69,12.67,34.88,2.77,14.96,12.00
"Dec","Maharashtra","Beed","Ambejogai",3539,2470,339,759,674,2614,46,1098,6009,3288,2.39,7.73,17.34,42.19,3.90,19.04,16.49
"Dec","Maharashtra","Beed","Ashti",2832,1732,321,687,378,1664,46,1008,4564,2042,2.20,6.92,11.87,31.28,2.46,13.32,21.30
"Dec","Maharashtra","Beed","Bid",5342,4063,706,1251,880,3537,107,1957,9405,4417,2.75,7.62,15.71,36.37,2.98,14.98,23.94
"Dec","Maharashtra","Beed","Dharur",767,493,120,245,114,413,14,365,1260,527,2.07,6.31,8.49,21.70,1.87,8.63,15.73
"Dec","Maharashtra","Beed","Georai",3004,2323,247,728,407,1706,59,975,5327,2113,1.24,4.91,11.68,26.78,1.97,10.22,16.81
"Dec","Maharashtra","Beed","Kaij",1816,1344,137,346,299,1129,37,483,3160,1428,1.58,5.57,15.48,36.40,2.87,13.71,18.97
"Dec","Maharashtra","Beed","Manjlegaon",3166,1893,108,426,353,1641,26,534,5059,1994,0.90,4.45,15.76,42.12,2.84,16.02,14.61
"Dec","Maharashtra","Beed","Parli",1741,1480,360,540,345,1131,27,900,3221,1476,3.95,9.88,16.21,35.27,3.39,14.51,20.00
"Dec","Maharashtra","Beed","Patoda",1210,733,31,160,98,518,6,191,1943,616,0.46,2.81,10.76,28.51,1.36,8.54,5.71
"Dec","Maharashtra","Beed","Shirur (Kasar)",1296,610,105,324,118,663,12,429,1906,781,1.52,6.21,8.83,27.58,1.71,11.33,15.19
"Dec","Maharashtra","Beed","Wadwani",1001,482,56,196,110,565,9,252,1483,675,1.08,4.88,9.33,28.70,2.02,12.39,12.86
"Dec","Maharashtra","Bhandara","Bhandara",3699,2122,284,826,435,1983,47,1110,5821,2418,1.59,6.20,11.77,32.30,2.28,12.65,16.85
"Dec","Maharashtra","Bhandara","Lakhandur",1614,1373,68,218,243,903,21,286,2987,1146,0.96,4.04,19.38,42.17,3.21,15.12,16.54
"Dec","Maharashtra","Bhandara","Lakhani",1652,898,164,342,190,887,19,506,2550,1077,2.28,7.03,12.47,35.41,2.56,14.54,15.57
"Dec","Maharashtra","Bhandara","Mohadi",896,554,40,99,101,301,21,139,1450,402,0.65,2.26,8.99,23.52,1.21,4.82,14.58
"Dec","Maharashtra","Bhandara","Pauni",1944,1228,145,419,291,1191,18,564,3172,1482,1.94,7.55,16.42,42.41,3.81,19.41,16.82
"Dec","Maharashtra","Bhandara","Sakoli",1686,1209,91,268,266,838,23,359,2895,1104,1.12,4.41,14.83,35.52,3.10,12.88,18.70
"Dec","Maharashtra","Bhandara","Tumsar",1717,1197,80,218,210,742,29,298,2914,952,0.89,3.33,13.36,32.52,2.02,9.16,16.29
"Dec","Maharashtra","Buldana","Buldana",6263,3086,398,1560,795,3345,71,1958,9349,4140,1.21,5.95,9.37,28.38,2.17,11.28,13.95
"Dec","Maharashtra","Buldana","Chikhli",2575,1654,38,515,298,1656,39,553,4229,1954,0.29,4.22,12.61,32.25,1.88,12.35,16.18
"Dec","Maharashtra","Buldana","Deulgaon Raja",1106,658,102,269,204,801,12,371,1764,1005,2.17,7.89,13.97,37.45,3.79,18.66,15.58
"Dec","Maharashtra","Buldana","Jalgaon (Jamod)",1839,1187,60,331,352,1526,14,391,3026,1878,0.86,5.60,16.99,43.32,4.13,22.04,12.50
"Dec","Maharashtra","Buldana","Khamgaon",1951,1201,155,417,311,1451,35,572,3152,1762,1.61,5.92,12.41,32.57,2.13,12.07,16.75
"Dec","Maharashtra","Buldana","Lonar",1137,772,52,174,158,740,10,226,1909,898,0.70,3.02,10.31,25.50,2.02,11.48,16.13
"Dec","Maharashtra","Buldana","Malkapur",1297,1002,266,288,242,838,11,554,2299,1080,4.83,10.05,18.16,41.66,4.17,18.62,15.49
"Dec","Maharashtra","Buldana","Mehkar",2815,1879,254,759,416,2176,14,1013,4694,2592,1.94,7.73,14.32,35.77,2.88,17.92,8.28
"Dec","Maharashtra","Buldana","Motala",2455,1572,47,593,348,1739,17,640,4027,2087,0.47,6.40,15.69,40.19,2.83,17.00,10.56
"Dec","Maharashtra","Buldana","Nandura",1097,842,88,198,228,948,16,286,1939,1176,1.63,5.30,15.55,35.81,2.70,13.92,13.68
"Dec","Maharashtra","Buldana","Sangrampur",1477,896,98,352,335,1466,19,450,2373,1801,1.71,7.86,15.59,41.28,3.48,18.73,15.45
"Dec","Maharashtra","Buldana","Shegaon",1353,919,151,321,202,928,7,472,2272,1130,2.60,8.12,15.81,39.08,3.26,18.26,8.97
"Dec","Maharashtra","Buldana","Sindkhed Raja",2130,1498,194,489,391,1653,31,683,3628,2044,2.34,8.23,18.02,43.64,4.24,22.18,24.03
"Dec","Maharashtra","Chandrapur","Ballarpur",1862,1092,274,674,445,1635,23,948,2954,2080,3.30,11.41,13.12,35.50,4.97,23.25,15.97
"Dec","Maharashtra","Chandrapur","Bhadravati",1411,987,108,290,228,932,12,398,2398,1160,1.61,5.94,14.72,35.77,3.24,16.46,17.91
"Dec","Maharashtra","Chandrapur","Brahmapuri",2413,1958,69,336,369,1468,20,405,4371,1837,0.74,4.35,20.99,46.85,3.84,19.11,18.52
"Dec","Maharashtra","Chandrapur","Chandrapur",2947,2062,322,673,469,1947,37,995,5009,2416,2.22,6.87,14.22,34.55,2.84,14.61,19.07
"Dec","Maharashtra","Chandrapur","Chimur",2277,1848,146,296,315,1341,31,442,4125,1656,1.59,4.83,20.14,44.95,3.31,17.38,24.22
"Dec","Maharashtra","Chandrapur","Gondpipri",1101,712,54,133,126,560,11,187,1813,686,1.21,4.20,15.94,40.60,2.69,14.66,18.97
"Dec","Maharashtra","Chandrapur","Jiwati",1164,940,161,311,295,974,31,472,2104,1269,3.05,8.94,17.78,39.79,5.51,23.71,31.96
"Dec","Maharashtra","Chandrapur","Korpana",1482,1127,153,341,308,1126,15,494,2609,1434,2.20,7.09,16.16,37.42,4.16,19.37,17.05
"Dec","Maharashtra","Chandrapur","Mul",1752,1211,72,148,197,839,14,220,2963,1036,1.22,3.73,20.49,50.13,3.17,16.67,19.72
"Dec","Maharashtra","Chandrapur","Nagbhir",1906,1462,69,224,247,961,11,293,3368,1208,0.84,3.55,17.72,40.82,3.00,14.67,10.38
"Dec","Maharashtra","Chandrapur","Pombhurna",666,564,14,62,83,353,4,76,1230,436,0.49,2.68,19.85,43.28,2.89,15.19,12.12
"Dec","Maharashtra","Chandrapur","Rajura",1579,1370,131,272,229,926,23,403,2949,1155,2.12,6.52,22.14,47.66,3.54,17.87,27.38
"Dec","Maharashtra","Chandrapur","Sawali",1361,1061,68,206,277,926,19,274,2422,1203,1.13,4.57,17.67,40.33,4.25,18.45,17.92
"Dec","Maharashtra","Chandrapur","Sindewahi",1888,1760,67,182,276,1075,24,249,3648,1351,1.01,3.76,26.51,54.95,4.01,19.61,27.91
"Dec","Maharashtra","Chandrapur","Warora",1599,1233,107,334,225,946,15,441,2832,1171,1.50,6.18,17.26,39.65,3.10,16.15,16.85
"Dec","Maharashtra","Dhule","Dhule",10092,7795,634,2075,1921,6639,161,2709,17887,8560,1.46,6.22,17.86,40.99,3.85,17.17,19.73
"Dec","Maharashtra","Dhule","Sakri",6825,5682,402,1141,1460,4962,91,1543,12507,6422,1.44,5.51,20.27,44.61,4.24,18.65,17.50
"Dec","Maharashtra","Dhule","Shirpur",5726,4243,300,945,902,2866,62,1245,9969,3768,1.13,4.71,16.03,37.67,3.02,12.61,14.00
"Dec","Maharashtra","Dhule","Sindkhede",2890,2641,265,696,858,2943,43,961,5531,3801,2.22,8.06,22.11,46.31,5.70,25.26,18.53
"Dec","Maharashtra","Gadchiroli","Aheri",1215,1141,128,348,461,1196,22,476,2356,1657,2.82,10.50,25.12,51.87,9.05,32.53,15.71
"Dec","Maharashtra","Gadchiroli","Armori",1862,1281,119,372,464,1632,23,491,3143,2096,1.97,8.13,21.15,51.88,7.48,33.77,21.30
"Dec","Maharashtra","Gadchiroli","Bhamragad",633,676,91,209,290,739,11,300,1309,1029,4.34,14.29,32.05,62.07,12.21,43.31,22.45
"Dec","Maharashtra","Gadchiroli","Chamorshi",2641,1692,138,604,648,2359,21,742,4333,3007,1.54,8.27,18.83,48.22,6.46,29.96,12.80
"Dec","Maharashtra","Gadchiroli","Desaiganj (Vadasa)",1163,901,42,242,278,1002,11,284,2064,1280,1.20,8.09,25.64,58.74,7.53,34.65,18.03
"Dec","Maharashtra","Gadchiroli","Dhanora",1389,1099,99,334,433,1245,23,433,2488,1678,2.20,9.61,24.30,55.02,9.01,34.91,19.66
"Dec","Maharashtra","Gadchiroli","Etapalli",808,846,94,238,342,817,23,332,1654,1159,3.33,11.76,29.80,58.26,11.03,37.38,23.71
"Dec","Maharashtra","Gadchiroli","Gadchiroli",2743,1665,193,629,699,2430,46,822,4408,3129,2.05,8.75,17.70,46.86,6.49,29.04,30.07
"Dec","Maharashtra","Gadchiroli","Korchi",1037,686,70,243,291,856,13,313,1723,1147,2.25,10.07,22.06,55.40,9.24,36.44,21.31
"Dec","Maharashtra","Gadchiroli","Kurkheda",1224,1128,59,234,330,1056,24,293,2352,1386,1.35,6.71,25.72,53.63,7.05,29.62,23.76
"Dec","Maharashtra","Gadchiroli","Mulchera",930,640,61,178,197,735,8,239,1570,932,1.78,6.97,18.65,45.75,5.24,24.77,20.00
"Dec","Maharashtra","Gadchiroli","Sironcha",1432,1085,104,281,316,1113,14,385,2517,1429,2.04,7.54,21.21,49.21,5.76,26.03,15.73
"Dec","Maharashtra","Gondia","Amgaon",1809,1210,77,283,222,944,20,360,3019,1166,1.08,5.05,16.97,42.34,2.51,13.20,15.87
"Dec","Maharashtra","Gondia","Arjuni Morgaon",1885,1500,116,279,305,1380,26,395,3385,1685,1.51,5.14,19.50,44.00,3.11,17.21,16.35
"Dec","Maharashtra","Gondia","Deori",1563,936,86,267,183,665,26,353,2499,848,1.09,4.46,11.81,31.53,2.26,10.48,19.40
"Dec","Maharashtra","Gondia","Gondiya",5436,2894,581,1330,858,3241,81,1911,8330,4099,2.16,7.09,10.72,30.87,3.08,14.73,17.72
"Dec","Maharashtra","Gondia","Goregaon",1594,864,85,291,257,890,24,376,2458,1147,1.08,4.76,10.92,31.07,3.10,13.81,17.27
"Dec","Maharashtra","Gondia","Sadak Arjuni",1303,719,106,318,223,819,21,424,2022,1042,1.63,6.53,11.06,31.09,2.87,13.41,17.21
"Dec","Maharashtra","Gondia","Salekasa",1427,772,69,215,205,800,23,284,2199,1005,1.09,4.49,12.19,34.72,3.18,15.58,22.33
"Dec","Maharashtra","Gondia","Tirora",1773,895,115,377,215,911,24,492,2668,1126,1.27,5.41,9.84,29.33,2.20,11.51,14.04
"Dec","Maharashtra","Hingoli","Aundha (Nagnath)",2472,2103,395,707,695,2202,54,1102,4575,2897,3.49,9.73,18.52,40.29,5.26,21.93,29.51
"Dec","Maharashtra","Hingoli","Basmath",3326,2415,307,683,552,2275,48,990,5741,2827,2.24,7.22,17.59,41.82,3.62,18.56,19.83
"Dec","Maharashtra","Hingoli","Hingoli",2800,2134,429,822,810,2627,82,1251,4934,3437,3.00,8.76,14.89,34.43,4.06,17.23,23.36
