Month,district_n,no_enrolled,tot_elgb_wghd,tot_elgb_hght,no_wt,no_ht,no_wt_ht,WeightP,HeightP,HeightWeightP
Dec,Ahmadnagar,73282594,60695376,60695376,52754422,49901054,50157849,71.99,68.09,68.44
Jan,Ahmadnagar,73303097,60779824,60779824,53223149,50480822,50607697,72.61,68.87,69.04
Nov,Ahmadnagar,73303503,60707962,54801474,52323453,45646377,49576863,71.38,62.27,67.63
Dec,Akola,7450100,6163196,6163196,4651020,4008670,4016848,62.43,53.81,53.92
Jan,Akola,7476606,6190978,6190978,5049538,4450166,4456372,67.54,59.52,59.6
Nov,Akola,7407354,6128222,5523456,4392688,3472518,3750802,59.3,46.88,50.64
Dec,Amravati,25309833,21040626,21040626,16041906,14168124,14254962,63.38,55.98,56.32
Jan,Amravati,25366659,21116886,21116886,17645334,15843999,15902547,69.56,62.46,62.69
Nov,Amravati,25326315,21036321,19014324,16078314,13014015,14135406,63.48,51.39,55.81
Dec,Aurangabad,33842600,27993240,27993240,22587840,20514780,20621590,66.74,60.62,60.93
Jan,Aurangabad,33763840,27956940,27956940,23334630,21566600,21592340,69.11,63.87,63.95
Nov,Aurangabad,33860200,27999510,25358850,21537340,17997320,19507180,63.61,53.15,57.61
Dec,Beed,25557448,20984244,20984244,15419467,13953090,14036802,60.33,54.6,54.92
Jan,Beed,25593527,21026209,21026209,15817426,14450239,14452964,61.8,56.46,56.47
Nov,Beed,25441472,20874808,18912481,15025541,12586339,14157574,59.06,49.47,55.65
Dec,Bhandara,4931385,4095204,4095204,3658908,3335237,3335078,74.2,67.63,67.63
Jan,Bhandara,4922004,4088049,4088049,3859990,3606279,3607445,78.42,73.27,73.29
Nov,Bhandara,4956931,4118259,3698499,3586669,2990260,3250490,72.36,60.32,65.57
Dec,Buldana,23995980,19829595,19829595,17190348,14194902,14282037,71.64,59.16,59.52
Jan,Buldana,23947695,19813944,19813944,17481390,13270827,13312563,73,55.42,55.59
Nov,Buldana,24065688,19881765,17937267,16980336,11185248,12134853,70.56,46.48,50.42
Dec,Chandrapur,18212831,15098601,15098601,13512807,12721100,12802377,74.19,69.85,70.29
Jan,Chandrapur,18213426,15100862,15100862,13544104,12751445,12828200,74.36,70.01,70.43
Nov,Chandrapur,18291966,15156911,13646444,13348230,11372830,12367908,72.97,62.17,67.61
Dec,Dhule,16171680,13455708,13455708,10855152,9111312,9234204,67.12,56.34,57.1
Jan,Dhule,16141104,13441680,13441680,11581332,9904356,9937368,71.75,61.36,61.57
Nov,Dhule,16171260,13451004,12083820,10240860,7262640,8280888,63.33,44.91,51.21
Dec,Gadchiroli,7523025,6257700,6257700,4737600,4332150,4342350,62.97,57.59,57.72
Jan,Gadchiroli,7480725,6215325,6215325,4888425,4453950,4454700,65.35,59.54,59.55
Nov,Gadchiroli,7500225,6247875,5582325,4716750,3878175,4233375,62.89,51.71,56.44
Dec,Gondia,7523622,6273756,6273756,5992719,5446170,5485569,79.65,72.39,72.91
Jan,Gondia,7505958,6264234,6264234,6040605,5795517,5814492,80.48,77.21,77.47
Nov,Gondia,7558260,6301011,5661381,5846163,4940952,5429334,77.35,65.37,71.83
Dec,Hingoli,4870825,4023510,4023510,3258927,2559145,2568949,66.91,52.54,52.74
Jan,Hingoli,4826449,3995818,3995818,3529612,2924086,2927741,73.13,60.58,60.66
Nov,Hingoli,4823611,3976167,3554380,2754838,1935516,2108290,57.11,40.13,43.71
Dec,Jalgaon,50241475,41664071,41664071,35325242,32343596,32748880,70.31,64.38,65.18
Jan,Jalgaon,50202366,41656521,41656521,35419466,32867264,32985195,70.55,65.47,65.7
Nov,Jalgaon,50616106,41961692,37853888,35572882,29579843,32565868,70.28,58.44,64.34
Dec,Jalna,13869088,11436708,11436708,10316012,8992472,9043544,74.38,64.84,65.21
Jan,Jalna,13856624,11440508,11440508,10322244,9248136,9265996,74.49,66.74,66.87
Nov,Jalna,13820296,11403800,10292908,10052520,8019064,8688244,72.74,58.02,62.87
Dec,Kolhapur,41959995,34745205,34745205,30907635,27869820,28058085,73.66,66.42,66.87
Jan,Kolhapur,42046950,34835625,34835625,31064550,28591035,28726995,73.88,68,68.32
