month_n,district_n,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,prnt_child_1yr_cmpltd_immunzt,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_intd_cf_past30d,prnt_chld_6to24mnths_intd_cf,prnt_anwmic_wmn,prnt_tenatus_cmpltd,prnt_wmn_1_anc_vst_dlvry,prnt_wmn_4_anc_vst_dlvry,prnt_wmn_rstg_drg_prgncy,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Ahmadnagar,23.98426,3.82624,11.06113,12.50338,24.33,80.32,77.27,90.21,95.21,11.32,39.98,73.02,16.86,95.02,95.51,76.92
Dec,Akola,33.39772,5.69915,12.24966,16.63961,10.02,76.75,73.73,82.06,88.87,16.17,43.13,68.03,11.55,91.36,91.93,73.99
Dec,Amravati,44.63744,6.65953,21.14291,16.47122,31.2,76.56,70.67,81.93,90.17,23.6,46.93,79.41,24.75,90.38,91,71.54
Dec,Aurangabad,37.5004,5.99726,17.51792,18.46677,16.46,78.11,72.39,86.25,92.51,8.86,37.33,64.11,10.39,90.94,91.9,70.75
Dec,Beed,33.56595,6.36134,13.68344,18.14366,10.41,73.82,73.02,85.69,91.51,6.72,33.03,63.3,8.55,90.84,91.75,72.5
Dec,Bhandara,34.55062,5.18387,12.42975,16.48148,25.41,74.4,77.5,86.76,92.86,26.07,57.26,83.35,22.9,93.7,94.1,77.04
Dec,Buldana,34.65532,6.34895,15.20456,14.3829,29.47,82.81,77.25,89.28,94.58,13.39,43.06,71.9,17.97,95.01,95.54,75.91
Dec,Chandrapur,41.58042,5.85316,17.69922,19.87663,28.83,77.48,74.58,86.48,95.03,20.31,47.77,73.5,17.45,94.92,95.51,75.95
Dec,Dhule,41.68998,5.87459,17.45055,17.75236,18.08,80.26,73.43,86.69,91.22,9.65,36.13,61.95,8.18,90.16,91.28,70.23
Dec,Gadchiroli,51.56414,8.82587,31.5492,20.25424,13.71,72.98,68.96,76.67,85.98,20.82,45.55,72.73,12.5,87.54,88.77,67.84
Dec,Gondia,33.39993,5.7798,13.95263,17.36357,24.77,80.4,77,89.43,95.18,24.48,53.2,78.2,20.03,94.82,95.05,75.77
Dec,Hingoli,37.42379,7.24604,17.079,19.95134,8.97,75.21,74.25,85.3,90.94,14.7,38.37,65.28,8.2,90.68,91.22,73.04
Dec,Jalgaon,31.71776,6.25369,14.62927,14.46108,56.79,80.36,74.3,89.97,94.17,11.45,50.78,73.67,18.5,93.15,94.1,74.67
Dec,Jalna,34.27777,7.26423,12.85943,20.79268,11.01,77.3,74.85,88.09,92.84,9.19,36.2,67.59,11.44,93.42,94.25,74.88
Dec,Kolhapur,22.54336,4.15174,9.69096,13.75117,26.46,79.65,74.59,90.48,96.27,12.44,42.42,68.92,9.25,95.41,95.87,74.06
Dec,Latur,32.57241,5.62009,12.09459,19.09348,14.1,74.33,72.44,83.79,91.36,12.75,37.53,68.52,9.93,90.46,91.37,71.21
Dec,Mumbai City,28.99103,10.77391,16.19332,16.26214,9.95,74.49,69.69,80.08,88.29,6.45,24.43,55.64,3.46,86.85,86.31,71.42
Dec,Mumbai Suburban,33.97886,10.60351,17.26264,16.51697,15.28,77.85,72.69,84.76,92.08,7.79,28.61,58.96,5.32,94.06,94.28,77.09
Dec,Nagpur,32.48806,5.95274,13.69681,17.62618,21.3,79.82,73.22,84.72,92.23,15.83,40.56,74.37,12.82,91.63,91.9,73.53
Dec,Nanded,31.21966,5.73098,11.95954,16.44951,11.56,76.07,74.59,86.89,91.78,11.95,39.67,69.83,9.87,92.27,92.79,72.95
Dec,Nandurbar,64.84772,8.24442,39.03098,18.32983,14.94,76.57,71.45,83.55,90.97,14.89,39.94,65.64,10.45,90.37,91.76,66.56
Dec,Nashik,39.52003,6.50603,18.97218,17.95235,34.86,74.9,72.76,89.3,94.44,8.65,42.92,66.63,12.76,92.65,93.84,71.04
Dec,Osmanabad,33.557,4.74659,13.83782,13.92694,14.39,77.24,75.79,90.16,95.06,11.5,40.67,71.16,12.28,94.56,95.06,74.78
Dec,Palghar,54.04668,4.99309,28.95152,16.31818,10.32,74.46,70.61,79.6,86.87,9.62,39.82,56.36,4.36,89.02,89.91,67.01
Dec,Parbhani,38.04181,5.39855,13.94853,21.41527,14.74,80.18,72.35,85.94,91.8,10.2,36.27,65.4,8.75,91.88,92.34,71.54
Dec,Pune,24.64404,5.23831,10.4132,11.86088,22.76,77.32,72.08,85.36,92.33,10.85,36.13,66.84,12.11,92.16,92.28,72.9
Dec,Raigad,22.38233,3.14853,8.61627,12.75611,26.5,76.17,72.09,81.87,89.64,10.37,44.81,69.9,13.51,91.03,91.05,70.26
Dec,Ratnagiri,30.12936,4.24849,13.72065,15.67164,31.96,76.76,73.43,87.16,92.52,13.22,48.13,70.93,9.7,94.41,94.26,76.38
Dec,Sangli,19.69221,3.99698,7.57463,9.90453,12.76,77.45,70.13,82.74,88.93,12.9,34.97,67.12,7.25,88.74,88.93,67.42
Dec,Satara,24.20537,2.98393,8.24878,10.59883,30.42,75.2,73.51,87.21,94.71,15.66,42.82,75.11,14.42,94.75,94.99,74.17
Dec,Sindhudurg,39.32608,5.25234,18.25063,14.86486,28.64,80.82,70.91,82.37,89.52,18.14,50.51,70.91,11.58,91.35,91.14,70.87
Dec,Solapur,28.38181,4.22431,9.44752,13.98964,18.51,76.95,73.88,86.93,92.74,9.2,35.82,64.37,9.29,92.21,92.68,71.27
Dec,Thane,33.62326,7.24393,16.51828,18.40517,15.09,78.16,73.21,87.56,93.57,13.27,38.83,73.87,10.78,93.19,93.32,72.87
Dec,Wardha,39.50737,6.16893,17.46776,16.21924,21.39,70.41,75.75,84.69,93.4,16.28,45.21,78.65,14.19,93.96,94.62,77.65
Dec,Washim,36.21204,5.19536,14.87533,17.39573,23.51,75.33,72.65,85.27,91.98,14.75,42.22,69.39,16.23,91.09,92.24,72.29
Dec,Yavatmal,39.89167,6.34751,17.6062,16.99346,16.77,75.35,71.63,82.81,89.1,15.45,44.29,70.71,11.55,87.89,88.75,69.82
Jan,Ahmadnagar,23.18643,3.33174,10.43927,13.19366,25.58,81.71,77.47,89.51,95.58,11.51,36.24,72.46,18.84,95.11,95.65,77.13
Jan,Akola,31.32912,5.16438,11.15999,18.98734,10.99,77.85,74.39,83.86,90.8,16.3,39.02,70.98,12.77,92.51,92.91,74.2
Jan,Amravati,43.05399,5.75842,20.00795,16.80952,33.01,76.58,72.22,83.44,91.77,23.63,44.95,79.11,24.9,91.14,91.8,73.02
Jan,Aurangabad,36.88628,5.2401,16.30722,20.21704,17.47,80.5,73.72,88.34,93.92,8.55,35.73,65.2,10.51,92.19,93.14,73.37
Jan,Beed,32.82603,5.9406,13.27853,20.65796,11.11,75.33,74.79,87.07,92.77,7.13,29.58,64.13,9.21,92.01,92.8,73.65
Jan,Bhandara,32.9664,4.29883,11.45407,13.09963,27.38,76.94,77.84,86.95,93.73,26.02,52.93,85.99,27.2,94.99,95.5,76.67
