"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Ahmadnagar","Akola",3563,3543,264,803,996,3321,38,1.91,7.71,51.28,25.57,28.22,6.51,19.10
"Dec","Maharashtra","Ahmadnagar","Jamkhed",1630,936,128,428,271,1117,11,1.46,6.35,29.25,10.67,14.97,2.92,10.89
"Dec","Maharashtra","Ahmadnagar","Karjat",1884,1115,235,599,314,1379,29,1.92,6.82,24.50,9.11,12.70,2.36,14.43
"Dec","Maharashtra","Ahmadnagar","Kopargaon",1838,791,46,281,228,916,34,0.31,2.23,17.93,5.40,7.39,1.47,14.41
"Dec","Maharashtra","Ahmadnagar","Nagar",6891,3334,533,1605,825,3994,90,1.19,4.78,22.85,7.45,10.28,1.76,13.66
"Dec","Maharashtra","Ahmadnagar","Nevasa",3117,1664,111,470,416,1677,43,0.46,2.40,19.74,6.87,8.24,1.64,12.04
"Dec","Maharashtra","Ahmadnagar","Parner",2171,1248,86,349,235,1162,19,0.54,2.75,21.58,7.88,8.49,1.43,8.12
"Dec","Maharashtra","Ahmadnagar","Pathardi",1760,810,71,288,190,905,18,0.55,2.79,19.97,6.29,8.32,1.44,10.71
"Dec","Maharashtra","Ahmadnagar","Rahta",2786,1414,124,527,390,1819,33,0.74,3.88,25.05,8.43,12.68,2.24,13.64
"Dec","Maharashtra","Ahmadnagar","Rahuri",2705,1616,63,292,307,1293,13,0.40,2.23,27.11,10.14,9.64,1.85,5.80
"Dec","Maharashtra","Ahmadnagar","Sangamner",3343,1565,181,689,506,2058,55,0.72,3.48,19.61,6.25,9.66,1.91,14.51
"Dec","Maharashtra","Ahmadnagar","Shevgaon",1803,1086,85,307,224,972,41,0.61,2.83,20.76,7.81,8.06,1.51,17.01
"Dec","Maharashtra","Ahmadnagar","Shrigonda",2009,1140,57,347,262,1178,18,0.36,2.56,19.90,7.20,8.85,1.61,6.82
"Dec","Maharashtra","Ahmadnagar","Shrirampur",2262,1291,104,381,319,1471,21,0.82,3.84,28.14,10.22,13.81,2.46,10.61
"Dec","Maharashtra","Akola","Akola",4922,2867,440,1041,768,2878,85,1.76,5.91,31.04,11.42,11.61,2.45,16.87
"Dec","Maharashtra","Akola","Akot",1567,1188,98,326,248,974,22,1.18,5.11,33.16,14.30,13.06,2.65,13.92
"Dec","Maharashtra","Akola","Balapur",1386,1029,151,313,251,824,28,2.13,6.54,34.03,14.50,13.99,3.27,24.78
"Dec","Maharashtra","Akola","Barshitakli",1808,1414,152,294,200,1048,11,1.82,5.35,38.55,16.92,14.12,2.26,10.89
"Dec","Maharashtra","Akola","Murtijapur",938,680,137,212,170,506,16,2.36,6.01,27.82,11.69,10.62,2.67,16.67
"Dec","Maharashtra","Akola","Patur",1761,1231,163,305,237,796,19,2.17,6.24,39.76,16.36,13.24,3.04,16.10
"Dec","Maharashtra","Akola","Telhara",1364,1014,117,198,188,735,24,1.63,4.40,33.16,14.14,10.56,2.15,16.90
"Dec","Maharashtra","Amravati","Achalpur",3667,2638,684,989,662,2954,49,3.80,9.29,34.95,14.62,16.98,3.11,13.73
"Dec","Maharashtra","Amravati","Amravati",5918,3601,672,1488,1045,4214,76,2.64,8.48,37.30,14.11,17.10,3.40,18.23
"Dec","Maharashtra","Amravati","Anjangaon Surji",1046,551,39,151,138,582,3,0.81,3.96,33.23,11.46,13.58,2.60,5.88
"Dec","Maharashtra","Amravati","Bhatkuli",1732,1024,65,288,299,1147,19,1.08,5.88,45.83,17.03,23.56,4.87,25.68
"Dec","Maharashtra","Amravati","Chandurbazar",2389,1599,78,269,330,1520,24,0.85,3.80,43.62,17.49,18.65,3.33,15.09
