"month_n","state_n","district_n","mdrtly_stntd","svrly_stntd","svrly_wstd","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","wstd_chld","stntd_chld","uw_chld","svrly_wasting_percent","wasting_percent","svrly_stunting_percent","stunting_percent","svrly_underweight_percent","underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Ahmadnagar",37762,21553,2088,7366,5483,23262,463,9454,59315,28745,0.85,3.83,8.72,23.98,2.11,11.06,12.50
"Dec","Maharashtra","Akola",13746,9423,1258,2689,2062,7761,205,3947,23169,9823,1.82,5.70,13.58,33.40,2.57,12.25,16.64
"Dec","Maharashtra","Amravati",29792,22016,2154,5564,5667,21908,309,7718,51808,27575,1.86,6.66,18.97,44.64,4.35,21.14,16.47
"Dec","Maharashtra","Aurangabad",43524,26868,2686,8557,7460,28512,489,11243,70392,35972,1.43,6.00,14.31,37.50,3.63,17.52,18.47
"Dec","Maharashtra","Beed",25714,17623,2530,5662,3776,15581,389,8192,43337,19357,1.96,6.36,13.65,33.57,2.67,13.68,18.14
"Dec","Maharashtra","Bhandara",13208,8581,872,2390,1736,6845,178,3262,21789,8581,1.39,5.18,13.61,34.55,2.51,12.43,16.48
"Dec","Maharashtra","Buldana",27495,17166,1903,6266,4280,19267,296,8169,44661,23547,1.48,6.35,13.32,34.66,2.76,15.20,14.38
"Dec","Maharashtra","Chandrapur",25408,19387,1815,4482,4089,16009,290,6297,44795,20098,1.69,5.85,18.00,41.58,3.60,17.70,19.88
"Dec","Maharashtra","Dhule",25533,20361,1601,4857,5141,17410,357,6458,45894,22551,1.46,5.87,18.50,41.69,3.98,17.45,17.75
"Dec","Maharashtra","Gadchiroli",17077,12840,1198,3912,4749,15180,239,5110,29917,19929,2.07,8.83,22.13,51.56,7.52,31.55,20.25
"Dec","Maharashtra","Gondia",16790,9790,1235,3360,2468,9650,245,4595,26580,12118,1.55,5.78,12.30,33.40,2.84,13.95,17.36
"Dec","Maharashtra","Hingoli",12722,9684,1364,2965,2874,10070,246,4329,22406,12944,2.28,7.25,16.17,37.42,3.79,17.08,19.95
"Dec","Maharashtra","Jalgaon",44991,23906,3537,10026,6078,28146,483,13563,68897,34224,1.63,6.25,11.01,31.72,2.60,14.63,14.46
"Dec","Maharashtra","Jalna",23102,17814,2956,5688,3758,13697,341,8644,40916,17455,2.48,7.26,14.92,34.28,2.77,12.86,20.79
"Dec","Maharashtra","Kolhapur",27111,11256,1542,5518,3399,14754,294,7060,38367,18153,0.91,4.15,6.61,22.54,1.81,9.69,13.75
"Dec","Maharashtra","Latur",16945,11236,1742,3111,2977,10638,337,4853,28181,13615,2.02,5.62,12.99,32.57,2.64,12.09,19.09
"Dec","Maharashtra","Mumbai City",6127,3763,1074,2572,1433,5506,67,3646,9890,6939,3.17,10.77,11.03,28.99,3.34,16.19,16.26
"Dec","Maharashtra","Mumbai Suburban",30196,18090,3879,11122,6417,26150,331,15001,48286,32567,2.74,10.60,12.73,33.98,3.40,17.26,16.52
"Dec","Maharashtra","Nagpur",26950,16802,2185,5815,4473,19310,447,8000,43752,23783,1.63,5.95,12.48,32.49,2.58,13.70,17.63
"Dec","Maharashtra","Nanded",27568,20022,2778,5934,5030,18545,505,8712,47590,23575,1.83,5.73,13.13,31.22,2.55,11.96,16.45
"Dec","Maharashtra","Nandurbar",30496,36445,1739,6753,11417,32060,349,8492,66941,43477,1.69,8.24,35.31,64.85,10.25,39.03,18.33
"Dec","Maharashtra","Nashik",60092,47623,5132,12578,13332,46592,633,17710,107715,59924,1.89,6.51,17.47,39.52,4.22,18.97,17.95
"Dec","Maharashtra","Osmanabad",21233,10824,954,3576,2556,11294,183,4530,32057,13850,1.00,4.75,11.33,33.56,2.55,13.84,13.93
"Dec","Maharashtra","Palghar",34581,33153,1025,5223,8257,30796,359,6248,67734,39053,0.82,4.99,26.45,54.05,6.12,28.95,16.32
"Dec","Maharashtra","Parbhani",15502,11556,1071,2761,2628,9333,230,3832,27058,11961,1.51,5.40,16.25,38.04,3.06,13.95,21.42
"Dec","Maharashtra","Pune",44703,22713,3869,10444,5967,28120,399,14313,67416,34087,1.42,5.24,8.30,24.64,1.82,10.41,11.86
"Dec","Maharashtra","Raigad",13202,6494,634,2134,1856,6785,193,2768,19696,8641,0.72,3.15,7.38,22.38,1.85,8.62,12.76
"Dec","Maharashtra","Ratnagiri",11760,5825,431,2046,1368,7422,126,2477,17585,8790,0.74,4.25,9.98,30.13,2.14,13.72,15.67
"Dec","Maharashtra","Sangli",16743,7249,1115,3750,1794,8302,166,4865,23992,10096,0.92,4.00,5.95,19.69,1.35,7.57,9.90
"Dec","Maharashtra","Satara",20475,10839,824,3033,1930,9639,200,3857,31314,11569,0.64,2.98,8.38,24.21,1.38,8.25,10.60
"Dec","Maharashtra","Sindhudurg",5214,4181,198,1054,830,3775,55,1252,9395,4605,0.83,5.25,17.50,39.33,3.29,18.25,14.86
"Dec","Maharashtra","Solapur",34767,19652,2239,5853,3860,18047,459,8092,54419,21907,1.17,4.22,10.25,28.38,1.66,9.45,13.99
"Dec","Maharashtra","Thane",40937,24124,3411,10585,7051,28793,427,13996,65061,35844,1.77,7.24,12.47,33.62,3.25,16.52,18.41
"Dec","Maharashtra","Wardha",11459,8542,878,2242,2480,8953,145,3120,20001,11433,1.74,6.17,16.87,39.51,3.79,17.47,16.22
"Dec","Maharashtra","Washim",15051,9596,1062,2471,2369,8429,171,3533,24647,10798,1.56,5.20,14.10,36.21,3.26,14.88,17.40
"Dec","Maharashtra","Yavatmal",25403,20703,2115,5208,5763,19126,338,7323,46106,24889,1.83,6.35,17.91,39.89,4.08,17.61,16.99
"Jan","Maharashtra","Ahmadnagar",37426,20429,1697,6609,4966,22404,466,8306,57855,27370,0.68,3.33,8.19,23.19,1.89,10.44,13.19
"Jan","Maharashtra","Akola",15006,9098,1074,2894,1899,7817,240,3968,24104,9716,1.40,5.16,11.83,31.33,2.18,11.16,18.99
"Jan","Maharashtra","Amravati",32780,22962,1815,5630,5649,23054,353,7445,55742,28703,1.40,5.76,17.74,43.05,3.94,20.01,16.81
"Jan","Maharashtra","Aurangabad",45566,26955,2299,7987,6908,27685,503,10286,72521,34593,1.17,5.24,13.71,36.89,3.26,16.31,20.22
"Jan","Maharashtra","Beed",26107,17527,2370,5507,3597,15672,427,7877,43634,19269,1.79,5.94,13.19,32.83,2.48,13.28,20.66
"Jan","Maharashtra","Bhandara",14249,8212,672,2254,1595,6747,142,2926,22461,8342,0.99,4.30,12.05,32.97,2.19,11.45,13.10
"Jan","Maharashtra","Buldana",25159,13817,1195,4923,3465,17544,241,6118,38976,21009,1.00,5.10,11.51,32.46,2.20,13.34,11.86
"Jan","Maharashtra","Chandrapur",25270,19348,1294,3772,3580,14978,269,5066,44618,18558,1.20,4.70,17.93,41.34,3.15,16.31,19.62
"Jan","Maharashtra","Dhule",26858,20074,1441,4617,4780,17377,364,6058,46932,22157,1.22,5.12,16.94,39.60,3.47,16.07,20.46
"Jan","Maharashtra","Gadchiroli",17418,13459,1131,3641,4437,15288,205,4772,30877,19725,1.90,8.03,22.61,51.87,6.81,30.26,19.96
"Jan","Maharashtra","Gondia",19572,9934,1185,3799,2747,11481,230,4984,29506,14228,1.41,5.91,11.78,34.99,3.14,16.25,16.16
"Jan","Maharashtra","Hingoli",14130,10112,1285,2911,2571,9914,191,4196,24242,12485,1.89,6.16,14.83,35.55,3.13,15.21,19.27
"Jan","Maharashtra","Jalgaon",44134,20610,2393,9179,5481,26230,442,11572,64744,31711,1.10,5.30,9.42,29.60,2.34,13.52,14.74
"Jan","Maharashtra","Jalna",22680,16570,1843,5155,3179,12868,288,6998,39250,16047,1.51,5.74,13.55,32.11,2.34,11.81,19.47
"Jan","Maharashtra","Kolhapur",28181,11138,1197,5280,3159,14805,255,6477,39319,17964,0.69,3.72,6.39,22.57,1.68,9.54,12.18
"Jan","Maharashtra","Latur",17707,10912,1322,3118,2691,10359,332,4440,28619,13050,1.44,4.82,11.84,31.04,2.34,11.33,19.89
"Jan","Maharashtra","Mumbai City",6139,3531,929,2488,1369,5359,70,3417,9670,6728,2.79,10.26,10.54,28.86,3.25,15.98,18.37
"Jan","Maharashtra","Mumbai Suburban",33490,19466,4257,11852,6617,27520,319,16109,52956,34137,2.74,10.37,12.48,33.94,3.30,17.05,16.60
"Jan","Maharashtra","Nagpur",29620,17269,2309,6060,4224,19027,451,8369,46889,23251,1.58,5.74,11.82,32.08,2.36,12.98,16.62
"Jan","Maharashtra","Nanded",28432,19689,2307,5322,4433,17600,479,7629,48121,22033,1.46,4.84,12.45,30.43,2.21,10.97,16.54
"Jan","Maharashtra","Nandurbar",32700,35658,1329,6450,10757,32000,292,7779,68358,42757,1.23,7.21,32.98,63.23,9.43,37.50,17.43
"Jan","Maharashtra","Nashik",62593,48282,5196,12753,13328,47159,629,17949,110875,60487,1.81,6.25,16.80,38.59,4.09,18.55,17.24
"Jan","Maharashtra","Osmanabad",20457,9019,488,2796,2030,10318,149,3284,29476,12348,0.51,3.45,9.46,30.93,2.04,12.40,11.72
"Jan","Maharashtra","Palghar",37043,34168,736,4405,8233,31933,383,5141,71211,40166,0.55,3.82,25.36,52.86,5.62,27.43,18.22
"Jan","Maharashtra","Parbhani",15157,11158,817,2423,2330,8930,237,3240,26315,11260,1.16,4.60,15.83,37.32,2.74,13.23,22.55
"Jan","Maharashtra","Pune",48707,22880,3514,10477,5426,27007,386,13991,71587,32433,1.08,4.32,7.05,22.07,1.54,9.20,11.39
"Jan","Maharashtra","Raigad",12894,6161,519,1892,1692,6539,177,2411,19055,8231,0.59,2.75,7.03,21.75,1.69,8.20,13.59
"Jan","Maharashtra","Ratnagiri",11962,5453,332,1863,1305,7242,118,2195,17415,8547,0.56,3.68,9.12,29.13,2.02,13.22,14.75
"Jan","Maharashtra","Sangli",17107,6871,888,3457,1644,8604,196,4345,23978,10248,0.70,3.41,5.39,18.80,1.19,7.40,11.32
"Jan","Maharashtra","Satara",19643,9935,596,2597,1832,9409,200,3193,29578,11241,0.47,2.50,7.76,23.11,1.29,7.89,11.76
"Jan","Maharashtra","Sindhudurg",5664,4308,167,1133,855,3956,62,1300,9972,4811,0.64,5.01,16.56,38.33,3.14,17.68,18.24
"Jan","Maharashtra","Solapur",35606,19145,1799,5714,3535,17307,399,7513,54751,20842,0.89,3.70,9.42,26.94,1.49,8.81,13.44
"Jan","Maharashtra","Thane",43355,23907,3225,10948,7094,29898,367,14173,67262,36992,1.58,6.93,11.67,32.83,3.10,16.18,17.48
"Jan","Maharashtra","Wardha",11722,8659,728,2054,2356,8777,165,2782,20381,11133,1.41,5.40,16.79,39.52,3.57,16.87,17.12
"Jan","Maharashtra","Washim",14985,8897,506,1725,2008,7781,175,2231,23882,9789,0.74,3.27,13.04,35.01,2.71,13.19,17.80
