"month_n","state_n","district_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Dec","Maharashtra","Ahmadnagar",2863,25302,10116,24043,24165,19462,4265,18475,11.32,39.98,16.86,73.02,95.51,95.02,76.92
"Dec","Maharashtra","Akola",1428,8832,3809,8069,8119,6535,1020,6008,16.17,43.13,11.55,68.03,91.93,91.36,73.99
"Dec","Maharashtra","Amravati",3216,13628,6395,12317,12402,9750,3373,10822,23.60,46.93,24.75,79.41,91.00,90.38,71.54
"Dec","Maharashtra","Aurangabad",1943,21939,8190,19951,20162,15521,2279,14064,8.86,37.33,10.39,64.11,91.90,90.94,70.75
"Dec","Maharashtra","Beed",1069,15914,5257,14457,14601,11538,1360,10074,6.72,33.03,8.55,63.30,91.75,90.84,72.50
"Dec","Maharashtra","Bhandara",1741,6678,3824,6257,6284,5145,1529,5566,26.07,57.26,22.90,83.35,94.10,93.70,77.04
"Dec","Maharashtra","Buldana",2019,15084,6495,14332,14411,11451,2710,10846,13.39,43.06,17.97,71.90,95.54,95.01,75.91
"Dec","Maharashtra","Chandrapur",2018,9938,4747,9433,9492,7548,1734,7304,20.31,47.77,17.45,73.50,95.51,94.92,75.95
"Dec","Maharashtra","Dhule",1219,12628,4563,11385,11527,8869,1033,7823,9.65,36.13,8.18,61.95,91.28,90.16,70.23
"Dec","Maharashtra","Gadchiroli",1479,7104,3236,6219,6306,4819,888,5167,20.82,45.55,12.50,72.73,88.77,87.54,67.84
"Dec","Maharashtra","Gondia",2041,8336,4435,7904,7923,6316,1670,6519,24.48,53.20,20.03,78.20,95.05,94.82,75.77
"Dec","Maharashtra","Hingoli",1161,7900,3031,7164,7206,5770,648,5157,14.70,38.37,8.20,65.28,91.22,90.68,73.04
"Dec","Maharashtra","Jalgaon",2603,22740,11548,21183,21398,16981,4206,16753,11.45,50.78,18.50,73.67,94.10,93.15,74.67
"Dec","Maharashtra","Jalna",1197,13026,4716,12169,12277,9754,1490,8804,9.19,36.20,11.44,67.59,94.25,93.42,74.88
"Dec","Maharashtra","Kolhapur",2110,16956,7192,16178,16255,12557,1569,11686,12.44,42.42,9.25,68.92,95.87,95.41,74.06
"Dec","Maharashtra","Latur",1615,12667,4754,11458,11574,9020,1258,8680,12.75,37.53,9.93,68.52,91.37,90.46,71.21
"Dec","Maharashtra","Mumbai City",179,2775,678,2410,2395,1982,96,1544,6.45,24.43,3.46,55.64,86.31,86.85,71.42
"Dec","Maharashtra","Mumbai Suburban",1050,13472,3855,12672,12702,10386,717,7943,7.79,28.61,5.32,58.96,94.28,94.06,77.09
"Dec","Maharashtra","Nagpur",2860,18063,7327,16552,16599,13282,2315,13433,15.83,40.56,12.82,74.37,91.90,91.63,73.53
"Dec","Maharashtra","Nanded",2238,18728,7430,17280,17377,13663,1848,13077,11.95,39.67,9.87,69.83,92.79,92.27,72.95
"Dec","Maharashtra","Nandurbar",1567,10527,4204,9513,9660,7007,1100,6910,14.89,39.94,10.45,65.64,91.76,90.37,66.56
"Dec","Maharashtra","Nashik",2707,31290,13430,28990,29362,22228,3992,20847,8.65,42.92,12.76,66.63,93.84,92.65,71.04
"Dec","Maharashtra","Osmanabad",1131,9834,3999,9299,9348,7354,1208,6998,11.50,40.67,12.28,71.16,95.06,94.56,74.78
"Dec","Maharashtra","Palghar",1208,12563,5002,11183,11296,8418,548,7080,9.62,39.82,4.36,56.36,89.91,89.02,67.01
"Dec","Maharashtra","Parbhani",898,8803,3193,8088,8129,6298,770,5757,10.20,36.27,8.75,65.40,92.34,91.88,71.54
"Dec","Maharashtra","Pune",2817,25962,9379,23926,23957,18925,3145,17352,10.85,36.13,12.11,66.84,92.28,92.16,72.90
"Dec","Maharashtra","Raigad",966,9312,4173,8477,8479,6543,1258,6509,10.37,44.81,13.51,69.90,91.05,91.03,70.26
"Dec","Maharashtra","Ratnagiri",684,5173,2490,4884,4876,3951,502,3669,13.22,48.13,9.70,70.93,94.26,94.41,76.38
"Dec","Maharashtra","Sangli",1658,12857,4496,11409,11434,8668,932,8630,12.90,34.97,7.25,67.12,88.93,88.74,67.42
"Dec","Maharashtra","Satara",1922,12271,5254,11627,11656,9102,1770,9217,15.66,42.82,14.42,75.11,94.99,94.75,74.17
"Dec","Maharashtra","Sindhudurg",426,2348,1186,2145,2140,1664,272,1665,18.14,50.51,11.58,70.91,91.14,91.35,70.87
"Dec","Maharashtra","Solapur",2055,22327,7997,20587,20692,15913,2074,14372,9.20,35.82,9.29,64.37,92.68,92.21,71.27
"Dec","Maharashtra","Thane",2319,17472,6784,16282,16305,12732,1884,12906,13.27,38.83,10.78,73.87,93.32,93.19,72.87
"Dec","Maharashtra","Wardha",1014,6229,2816,5853,5894,4837,884,4899,16.28,45.21,14.19,78.65,94.62,93.96,77.65
"Dec","Maharashtra","Washim",1097,7439,3141,6776,6862,5378,1207,5162,14.75,42.22,16.23,69.39,92.24,91.09,72.29
"Dec","Maharashtra","Yavatmal",2298,14875,6588,13074,13201,10385,1718,10518,15.45,44.29,11.55,70.71,88.75,87.89,69.82
"Jan","Maharashtra","Ahmadnagar",3003,26094,9457,24818,24958,20126,4917,18907,11.51,36.24,18.84,72.46,95.65,95.11,77.13
