"month_n","state_n","district_n","sub_district","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Dec","Maharashtra","Ahmadnagar","Akola",164,4893,1458,4444,683,4410,4806,1663,219,2006,4893,74.89,72.68,90.82,90.13,98.22,70.41,9.86,80.76
"Dec","Maharashtra","Ahmadnagar","Jamkhed",100,3172,943,2828,478,2961,3134,1262,144,1272,3172,69.44,74.14,89.16,93.35,98.80,87.07,12.01,82.81
"Dec","Maharashtra","Ahmadnagar","Karjat",193,4577,1418,4189,669,4405,4509,3543,240,1831,4577,80.42,77.44,91.52,96.24,98.51,90.65,23.86,87.42
"Dec","Maharashtra","Ahmadnagar","Kopargaon",219,4722,1556,4334,714,4473,4668,1782,257,2004,4722,85.21,77.64,91.78,94.73,98.86,90.96,11.36,85.99
"Dec","Maharashtra","Ahmadnagar","Nagar",599,16196,4649,14903,2375,14668,15984,12086,744,5980,16196,80.51,77.74,92.02,90.57,98.69,92.59,23.98,88.79
"Dec","Maharashtra","Ahmadnagar","Nevasa",329,8106,2363,7569,1219,7008,7957,4059,414,3050,8106,79.47,77.48,93.38,86.45,98.16,92.91,15.74,90.29
"Dec","Maharashtra","Ahmadnagar","Parner",207,5377,1539,4947,851,4947,5319,7218,260,1958,5377,79.62,78.60,92.00,92.00,98.92,93.31,42.96,88.70
"Dec","Maharashtra","Ahmadnagar","Pathardi",150,4353,1332,4144,624,3908,4252,4731,199,1758,4353,75.38,75.77,95.20,89.78,97.68,92.17,35.17,91.24
"Dec","Maharashtra","Ahmadnagar","Rahta",236,5422,1721,5001,853,5229,5370,8916,283,2192,5422,83.39,78.51,92.24,96.44,99.04,91.23,49.34,86.88
"Dec","Maharashtra","Ahmadnagar","Rahuri",188,5459,1638,5114,852,5029,5386,7999,256,2135,5459,73.44,76.72,93.68,92.12,98.66,91.03,45.90,89.37
