"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Dec","Maharashtra","Ahmadnagar","Akola",203,1601,608,1460,1468,1132,198,1116,12.68,37.98,12.37,69.71,91.69,91.19,70.71
"Dec","Maharashtra","Ahmadnagar","Jamkhed",76,969,340,895,909,739,58,590,7.84,35.09,5.99,60.89,93.81,92.36,76.26
"Dec","Maharashtra","Ahmadnagar","Karjat",132,1275,534,1201,1213,979,157,797,10.35,41.88,12.31,62.51,95.14,94.20,76.78
"Dec","Maharashtra","Ahmadnagar","Kopargaon",144,1428,613,1361,1371,1193,186,1099,10.08,42.93,13.03,76.96,96.01,95.31,83.54
"Dec","Maharashtra","Ahmadnagar","Nagar",480,4536,1526,4334,4328,3516,557,3117,10.58,33.64,12.28,68.72,95.41,95.55,77.51
"Dec","Maharashtra","Ahmadnagar","Nevasa",222,2381,889,2255,2278,1813,339,1745,9.32,37.34,14.24,73.29,95.67,94.71,76.14
"Dec","Maharashtra","Ahmadnagar","Parner",217,1541,763,1484,1489,1183,398,1341,14.08,49.51,25.83,87.02,96.63,96.30,76.77
"Dec","Maharashtra","Ahmadnagar","Pathardi",133,1235,566,1161,1174,936,308,954,10.77,45.83,24.94,77.25,95.06,94.01,75.79
"Dec","Maharashtra","Ahmadnagar","Rahta",247,1711,741,1657,1662,1322,499,1380,14.44,43.31,29.16,80.65,97.14,96.84,77.26
"Dec","Maharashtra","Ahmadnagar","Rahuri",174,1718,838,1625,1638,1317,442,1293,10.13,48.78,25.73,75.26,95.34,94.59,76.66
"Dec","Maharashtra","Ahmadnagar","Sangamner",280,2562,994,2452,2472,1984,387,1868,10.93,38.80,15.11,72.91,96.49,95.71,77.44
"Dec","Maharashtra","Ahmadnagar","Shevgaon",96,1409,465,1322,1327,1034,103,900,6.81,33.00,7.31,63.88,94.18,93.83,73.39
"Dec","Maharashtra","Ahmadnagar","Shrigonda",293,1689,694,1634,1630,1348,335,1227,17.35,41.09,19.83,72.65,96.51,96.74,79.81
"Dec","Maharashtra","Ahmadnagar","Shrirampur",166,1247,545,1202,1206,966,298,1048,13.31,43.70,23.90,84.04,96.71,96.39,77.47
"Dec","Maharashtra","Akola","Akola",559,3701,1426,3392,3407,2739,422,2501,15.10,38.53,11.40,67.58,92.06,91.65,74.01
"Dec","Maharashtra","Akola","Akot",139,1005,451,932,943,747,180,778,13.83,44.88,17.91,77.41,93.83,92.74,74.33
"Dec","Maharashtra","Akola","Balapur",156,802,324,741,734,613,52,543,19.45,40.40,6.48,67.71,91.52,92.39,76.43
"Dec","Maharashtra","Akola","Barshitakli",131,839,386,722,727,595,60,447,15.61,46.01,7.15,53.28,86.65,86.05,70.92
"Dec","Maharashtra","Akola","Murtijapur",152,691,390,633,633,495,102,523,22.00,56.44,14.76,75.69,91.61,91.61,71.64
"Dec","Maharashtra","Akola","Patur",143,775,348,721,727,557,88,561,18.45,44.90,11.35,72.39,93.81,93.03,71.87
"Dec","Maharashtra","Akola","Telhara",148,1019,484,928,948,789,116,655,14.52,47.50,11.38,64.28,93.03,91.07,77.43
"Dec","Maharashtra","Amravati","Achalpur",623,2308,1124,2175,2182,1681,708,1961,26.99,48.70,30.68,84.97,94.54,94.24,72.83
"Dec","Maharashtra","Amravati","Amravati",790,3315,1528,3185,3195,2576,907,2715,23.83,46.09,27.36,81.90,96.38,96.08,77.71
"Dec","Maharashtra","Amravati","Anjangaon Surji",129,469,253,450,454,336,94,435,27.51,53.94,20.04,92.75,96.80,95.95,71.64
"Dec","Maharashtra","Amravati","Bhatkuli",152,574,297,544,550,446,163,498,26.48,51.74,28.40,86.76,95.82,94.77,77.70
"Dec","Maharashtra","Amravati","Chandurbazar",278,959,495,889,896,708,279,870,28.99,51.62,29.09,90.72,93.43,92.70,73.83
"Dec","Maharashtra","Amravati","Chandur Railway",98,367,189,348,347,280,88,309,26.70,51.50,23.98,84.20,94.55,94.82,76.29
"Dec","Maharashtra","Amravati","Chikhaldara",91,811,250,639,659,488,38,408,11.22,30.83,4.69,50.31,81.26,78.79,60.17
"Dec","Maharashtra","Amravati","Daryapur",161,613,365,596,597,491,285,534,26.26,59.54,46.49,87.11,97.39,97.23,80.10
"Dec","Maharashtra","Amravati","Dhamangaon Railway",158,490,244,469,466,362,138,365,32.24,49.80,28.16,74.49,95.10,95.71,73.88
"Dec","Maharashtra","Amravati","Dharni",148,1298,381,769,803,614,57,723,11.40,29.35,4.39,55.70,61.86,59.24,47.30
"Dec","Maharashtra","Amravati","Morshi",136,679,360,636,635,531,135,468,20.03,53.02,19.88,68.92,93.52,93.67,78.20
"Dec","Maharashtra","Amravati","Nandgaon-Khandeshwar",154,607,318,551,550,425,152,537,25.37,52.39,25.04,88.47,90.61,90.77,70.02
"Dec","Maharashtra","Amravati","Teosa",140,487,224,436,437,325,147,470,28.75,46.00,30.18,96.51,89.73,89.53,66.74
"Dec","Maharashtra","Amravati","Warud",158,651,367,630,631,487,182,529,24.27,56.37,27.96,81.26,96.93,96.77,74.81
"Dec","Maharashtra","Aurangabad","Aurangabad",762,6163,2342,5892,5921,4622,858,4483,12.36,38.00,13.92,72.74,96.07,95.60,75.00
"Dec","Maharashtra","Aurangabad","Gangapur",172,3130,1036,2750,2782,2126,62,1567,5.50,33.10,1.98,50.06,88.88,87.86,67.92
"Dec","Maharashtra","Aurangabad","Kannad",206,2501,948,2253,2296,1736,269,1556,8.24,37.90,10.76,62.22,91.80,90.08,69.41
"Dec","Maharashtra","Aurangabad","Khuldabad",46,867,276,721,746,544,50,505,5.31,31.83,5.77,58.25,86.04,83.16,62.75
"Dec","Maharashtra","Aurangabad","Paithan",167,2527,877,2272,2276,1814,181,1506,6.61,34.71,7.16,59.60,90.07,89.91,71.78
"Dec","Maharashtra","Aurangabad","Phulambri",157,1266,567,1163,1178,881,262,920,12.40,44.79,20.70,72.67,93.05,91.86,69.59
"Dec","Maharashtra","Aurangabad","Sillod",238,2779,1108,2498,2519,1913,222,1908,8.56,39.87,7.99,68.66,90.64,89.89,68.84
"Dec","Maharashtra","Aurangabad","Soegaon",68,931,317,762,790,533,71,492,7.30,34.05,7.63,52.85,84.85,81.85,57.25
"Dec","Maharashtra","Aurangabad","Vaijapur",127,1775,719,1640,1654,1352,304,1127,7.15,40.51,17.13,63.49,93.18,92.39,76.17
"Dec","Maharashtra","Beed","Ambejogai",156,2479,682,2301,2315,1904,146,1378,6.29,27.51,5.89,55.59,93.38,92.82,76.81
"Dec","Maharashtra","Beed","Ashti",89,1317,388,1255,1272,1076,150,812,6.76,29.46,11.39,61.66,96.58,95.29,81.70
"Dec","Maharashtra","Beed","Bid",316,3577,1325,3243,3286,2557,352,2438,8.83,37.04,9.84,68.16,91.86,90.66,71.48
"Dec","Maharashtra","Beed","Dharur",50,661,216,594,588,457,37,417,7.56,32.68,5.60,63.09,88.96,89.86,69.14
"Dec","Maharashtra","Beed","Georai",156,2047,802,1891,1911,1528,214,1579,7.62,39.18,10.45,77.14,93.36,92.38,74.65
"Dec","Maharashtra","Beed","Kaij",55,1402,343,1148,1159,871,38,803,3.92,24.47,2.71,57.28,82.67,81.88,62.13
"Dec","Maharashtra","Beed","Manjlegaon",49,1349,406,1239,1243,956,121,820,3.63,30.10,8.97,60.79,92.14,91.85,70.87
"Dec","Maharashtra","Beed","Parli",50,1274,376,1061,1086,831,64,667,3.92,29.51,5.02,52.35,85.24,83.28,65.23
"Dec","Maharashtra","Beed","Patoda",56,717,285,686,682,558,94,382,7.81,39.75,13.11,53.28,95.12,95.68,77.82
